Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трохи виявити тих, хто підриває людей в Європі, обов''язково виявиться погана натура.'	uk	1.0	1.0	1	1	1.0
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться веселитися, читати і писати.	uk	1.0	1.0	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, не хотів би згадувати	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво і погані навички | сильний	uk	0.5	1.0	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте, я не маю на увазі бути нахабствою, але Сократ дискутує як неосвічений.	uk	1.0	1.0	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди все фільтрують через релігійні принципи	uk	1.0	1.0	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, що за погане відбувається навколо	uk	0.5	1.0	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, чому просто не можна змусити вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1.0	1	1	1.0
69	В мене завтра свіданка блять.	У мене завтра важлива зустріч.	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту особу.	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я багато говорю неприємностей.	uk	1.0	1.0	1	1	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але я все час дома, а там щось цікаве.	uk	1.0	1.0	1	1	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі смачні і буду насолоджуватися	uk	0.5	1.0	1	1	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	проклятьм, ско, коли ти нормально коментувати будеш. на твої твіти дивитись соромно.	uk	1.0	0.5	0	1	1.0
131	І що бля, це більшість жінок почувається — отак??	І що, це більшість жінок почувається — так??	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забули про дитину, погано#НічІзКевіном	uk	0.5	1.0	1	0	1.0
