Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	መሰልቸት ሰው ነው። ስለሰለቸህ ብቻ የሆነ ነገር መወርወር ይህን ያሳያል	am	1.0	1.0	1	1	0.8333333333333334
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	በዚህ ዘረኝነት የሚስቅ ካለ በድንቁርና ሰከረ።	am	1.0	1.0	1	1	0.6666666666666666
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	እግርህን ማጣት አትፈልግም አይደል? ቆይ ጠብቅልኝ	am	1.0	1.0	1	0	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	መቶ አንድ ወይም ሁለት ግድያዎች ከአንተ ጋር እኩል ናቸው።	am	1.0	1.0	1	1	0.8333333333333334
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት የድሮ ናፋቂዎች ናቸው።	am	1.0	1.0	1	1	0.8333333333333334
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው በድሮ ጊዜ ስለ ባቱ ስንማር የ	am	1.0	0.5	0	0	1.0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	የውድድር ዘመኑን መጠበቅ የማትችል ይሆናል። ግን ጥሩ መረጃ ለመስጠት	am	1.0	1.0	1	1	1.0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	አንተ ቅጥረኛ ነህ	am	1.0	1.0	1	1	0.6666666666666666
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ሳስታውስ አንቺ ጨዋታዎችን የምትወድ ልጅ ነበርሽ ግን በዚህ ጊዜ አደግሽ	am	1.0	1.0	1	1	1.0
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያው ሰው ያሳደገህ መጥፎ ስለሆንክ ሳይሆን አንተ ነህ ብሎ በማሰብ ነው።	am	0.5	1.0	1	0	1.0
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	ማን እንደሚቀበር አይታወቅም ማለት ነው።	am	1.0	1.0	1	1	0.6666666666666666
4292	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	አሁን እሱን በማየቷ እድለኛ ነች።	am	1.0	1.0	1	0	1.0
4302	እኔን ወይም ጓደኛዬን አትናገር አሁን ደደብ ደህና ሁን :	እኔን ወይም ጓደኛዬን አታናግረኝ.	am	1.0	1.0	1	1	1.0
4322	አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ	ኧረ እውቀት የለህም፣ አትናገርም፣ ከጠየቅክ አታውቅም።	am	1.0	1.0	1	0	1.0
4331	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	ትገረማለህ። የኛ ችግር ከአንተ የበለጠ ብልህ መሆን አለመምሰልህ ነው።	am	1.0	1.0	1	1	1.0
4333	ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው	ብትልም መብቷ ነው።	am	1.0	1.0	1	1	1.0
4336	ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ	ሰዎች የማሰብ ችሎታ የሌላቸውን አይተው ይፍረዱን። በጣም የተማርክ አይደለህም	am	1.0	1.0	1	1	1.0
4340	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	እንደ አንዳርጋቸው ያሉ ሰዎች ለህዝባቸው መብት መከበር ህይወታቸውን ፈጽሞ አይሠዉም።	am	1.0	1.0	1	1	1.0
4346	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን አቦ	ክፍት አፍ። ሀበሻ ላይ የለመድከው የሚሰራ ይመስላችኋል	am	1.0	1.0	1	1	0.8333333333333334
4349	አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ	አሁን ዶ/ር መረራ ስድስት ኪሎ ሳይሆን አራት ኪሎ ማግኘት ይፈልጋሉ	am	1.0	1.0	1	1	0.8333333333333334
4354	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል	ልክ ነሽ ኬፕ ታውን ይመስለኛል።	am	1.0	1.0	1	0	1.0
4358	ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር	እባካችሁ እኚህን ጨቅላ ፕሬዘዳንት ይቅርታ አድርጉላቸው እና መሃይም ኢትዮጵያ በልጆቿ ታፍራ ትኑር	am	1.0	1.0	1	1	1.0
4366	አንተ ራስህ ምርጥ ዘረኛ አይደለህ እንዴ። የአንባቸው ጊዜ የጻፈችውን ማን የሚረሳው መሰለህ	አንተ እራስህ ምርጥ ዘረኛ አይደለህም? ሲያነቡ የፃፉትን ማን ይረሳል	am	1.0	1.0	1	1	0.6666666666666666
4376	ተምረህ እንዲ የደደብክ ባትማር ምን ትል ይሆን ነበር??? አለቅላቂ	መጥፎ መሆንን ከተማርሽ እና ካልተማርክ ምን ትላለህ? አለቃ	am	1.0	1.0	1	1	1.0
4383	ጁንታ ስትሆን አይመችህም። ደነዝ 27 አመት የት ነበርክ።	ጁንታ መሆን አልተመቻችሁም። የት ነበርክ 27 አመትህ	am	1.0	1.0	1	1	0.8333333333333334
4386	እስከ መቼ ነው ብሎ ያዘገጁት ላይ Abiy ልከስት ነው ኣሉ። ልዩ የክብር እንግዳ .	አብይ ሊፈጠር ነው አሉ። ልዩ የክብር እንግዳ	am	0.5	1.0	1	1	0.5
4388	ኣዎ ኣሁንም ከናንተ ድጋፍ ኣይፈልግም። ድጋፍ ለሚሰጡ ብቻ መንገዱን ክፈቱ በይ ከቻልስ ካልሆነ ዝም በይ። ስትፈልጊ ሚታስሪቢው ስትፈልጊ ምታበይው ህዝብ ኣይደ	አዎ አሁንም የእናንተን ድጋፍ አይፈልግም። መንገዱን ለእነዚያ ብቻ ይክፈቱ	am	0.5	1.0	1	1	0.6666666666666666
4403	ያንተ አይነት ጅል አይቼም አላውቅም። በቦንብ ላጠፋቹ እችላለው እያለ የኛ ህውብ ስላለ ብቻ ሌላ ትርጉም ልትሰጠው ነው?	እንዳንተ ያለ ሰው አይቼ አላውቅም። ልትሰጡት ነው	am	1.0	1.0	1	1	1.0
4407	ከብዙ ኡኡታ በኋላ የመተከል ችግር ከስሩ ሊቀረፍ የተቃረበ ይመስላል ከጅምሩ በእልቂቱ የአመራሮች እጅ አለበት እያሉ ከሞት የተረፉ ተጠቂዎች በግልጽ እየተናገሩ በተደጋጋሚ ጭፍጨፋው እ	ከብዙ አመታት በኋላ የመትከል ችግር ሊፈታ የተቃረበ ይመስላል	am	1.0	1.0	1	1	0.8333333333333334
4414	ጀግኖች ናቸው፣ ይሄ ጉድ እዚህ አገር ነው ብለው ነው። የሰይጣን ስራ ይገርማል እያሉ ነው።	ጀግኖች ናቸው፣ እዚህ አገር ይህ መጥፎ ነው ይላሉ። እያሉ ነው።	am	1.0	1.0	1	1	1.0
4415	ለአለም አቀፍ ለሚያቶሰትሰው የኢትዮጵያ ከሀዲ መልስ ይሁንለት	በአለም አቀፉ ማህበረሰብ እየተተቸ ላለው ኢትዮጵያዊ መልስ ይስጥ	am	1.0	1.0	1	1	0.8333333333333334
4418	አረ ሌላው ሁሉ ነገር ይቅርና ህዝበ ወያኔን በሚያስጨንቅበት ሰሞን አብይን ጭራሽ ከነመፈጠሩ የሚያውቅ ሰው ነበር? የኛ ሰው አሁን ደርሶ ያለ አብይ ብሎ ጫማ የሚልሰ	ሌላው ይቅርና አብይ በዘመኑ መፈጠሩን የሚያውቅ ሰው ነበረ	am	1.0	1.0	1	1	1.0
4422	መቼም ይህ የአሳምነው ድምፅ ነው ብሎ ያመነ ደንቆሮ መሆን አለበት ።	ይህ የማሳመን ድምጽ ነው ብሎ ለማመን የዋህ መሆን አለበት።	am	1.0	1.0	1	1	1.0
4431	ሴተኛ አዳሪዎች አንተን በሺህ እስጥፍ ይበልጡሃል። በዚህ አስተሳሰብህ ነው ሀገር ልምድ የምትለው? ማፈሪያ ተወጋዥ ባልታጣበት አለም ስራ ሰርታ ቤተሰብ ላሳደግ ያልች	ሴተኛ አዳሪዎች ሺህ ጊዜ ይበልጣችኋል። እርስዎ የሚያስቡት በዚህ መንገድ ነው	am	0.5	1.0	1	1	1.0
4433	አንተ ደደብ ከዚህ በላይ ምን አባህ እስኪፈጠር ነው ምትጠብቀው? የራስ ሰይጣን ሰይጣንነቱ ለሌላው እስከሆነ ብቻ ለኔ	ምን እየጠበክ ነው? ለኔ ብቻ የራሴ ሰይጣን እስካለ ድረስ	am	1.0	1.0	1	1	1.0
4436	አንተ የዉሻ ልጅ የጅህን ታገኛለህ ቆይ የንፁሃንን ደም አፍስሰህ በሰልም ምትኖር እንዳይመስልህ ደደብ :	የሚገባህን ታገኛለህ። ከዚያ በኋላ በሰላም ትኖራለህ ብለው አያስቡ	am	1.0	1.0	1	1	1.0
4446	ድንዝዝ፣ የአብይ አህመድን ሴራ ለማወቅ ገና ግማሽ ክፍለ ዘመን ያስፈግሻል። አብይ እያሳሳቀ ገና ኢትዮጵያን ሲያነዳት የዛኔ ይገባሻል	ጎሽ የአብይ አህመድን ለማወቅ ግማሽ ክፍለ ዘመን ይፈጅብሃል	am	1.0	1.0	1	1	1.0
4447	ዶ/ር ዳንኤል በቀለ ሆይ አንተ የዘር ማጥፋት ወንጀል ተፈፅሟል ብለህ እንድታምን ስንት አማራ ይታረድ ? አብይ አህመድ ሆይ ይህው ይህው መታረዱ ቀጥሏል ው	ዶ/ር ዳንኤል በቀለ ለስንት አማራ ህዝብ ይታረዳል።	am	1.0	1.0	1	1	0.6666666666666666
4449	በቀጣይ ኮሚቴ ተብዬው መጅሊስን ካልተረከብን ሰላትም ዋጂብ አይሆንም ማለታቸው አዲስ አይሆንብንም ምክኒያቱም ሰላት የእስላም መሰረት እንደሆነ ሁሉ ሀጅም የእስላም መሰረት ሆኖ	መጅሊስ ተብዬውን ከቀጣዩ ኮሚቴ ካልረከብነው።	am	1.0	1.0	1	0	0.6666666666666666
4453	ህዝቤን ተገደለ ተጨፈጨፈ ተዘረፈ ብለህ ለምን ትናገራለህ ብሎ የሚያሾፍ ጥንብ ፍጥረት ደሞ ኣለ። ሲያስጠላ	ለምን ህዝቤ ተገደለ እያልክ የሚሳለቅበት ጥንብም አለ።	am	1.0	1.0	1	1	0.8333333333333334
4464	ስራችሁም አፋችሁም ባለጌ ነው ከስድብ ውጪ ምን ይጠበቃል?	ስራህና አፍህ ባለጌ ነው ከስድብ ውጭ ምን ይጠበቃል?	am	1.0	1.0	1	1	0.3333333333333333
4465	የሆነማ የተገለባበጠ እና የተዟዟረ ነገርማ አለ፣ ከጭንቅላታቸው ጀምሮ	ከጭንቅላታቸው ጀምሮ የሆነ ችግር አለ።	am	1.0	1.0	1	1	1.0
4469	ይሄ ሰውዬ አንድም የወታደር ስነምግባር የሌለው ይሳቅልኛል እያለ የጠጅቤት የሰካራም ወሬ እያመጣ ህዝቡን ማደንዘዝ ይፈልጋል ልጋጋም ለፍዳዳ ቅሌታ ሽማግሌ። ምንነው ሱዳን ላይ ሲሆን ምላስህ ታጠፈ	ይህ ሰው ምንም አይነት ወታደራዊ ስነምግባር የሌለው ሰውዬ እየሳቀብኝ ነው እና ይፈልጋል	am	1.0	1.0	1	1	0.6666666666666666
4472	ሳይቸግረው ሰይጣን መስቀል ሰቅሎ ቤቱ ሲወጣ ሲገባ ታወከች ሕይወቱ መልካም እለተ ሰንበት	ያለምንም ችግር ሰይጣን መስቀልን ይሰቅላል, ከቤት ሲወጣ, ሲወጣ	am	1.0	1.0	1	1	0.6666666666666666
4475	የወንድማችንን ቴዎድሮስ ጸጋዬን የዋህነት ሳላደንቅ ባልፍ ህሊናዬ እንደሚወቅስኝ ተስማኝ አንደኛውን ሙማ ከሌላው አማሙማ ጋር ለማጋጨትና በአባቶቹ መንገድ ለመቀጠል ጥረት ቢያደርግም አማሙማዎች እምቢላገሬ አልነው ምን ይውጠው?	የወንድማችንን የቴዎድሮስን የዋህነት ካላደነቅኩኝ ተስማምቻለሁ	am	1.0	1.0	1	1	0.6666666666666666
4478	ሴራችሁን ትታችሁ አገር ምሩ ብትባሉ የእጅ አመል ያለበት ሌባ ይመስል ተመልሳችሁ ሴራ ትጠመጥማላችሁ እኛ የምንለው ኢትዮጵያዊ የሆነ ሁላ እኩል ስልጣን እኩል መብት እኩል ድርሻ እኩል	ሴራህን ትተህ ወደ ሀገርህ ከሄድክ ይዘህ ትመለሳለህ	am	1.0	1.0	1	1	0.8333333333333334
4506	አንች አረመኔ ጁንታ የመጨረሻ ኑዛዜሽ መሆን አለበት አሮጊት??	ያ ጁንታ የመጨረሻ ፈቃድህ መሆን አለበት አሮጊት ሴት?	am	1.0	1.0	1	1	0.8333333333333334
4511	ባንዳው ማን እንደሆነ ልብህ ያውቀዋል፡ ባለጌ	ሽፍታው ማን እንደሆነ ልብህ ያውቃል	am	1.0	1.0	1	1	1.0
4513	የአክሱም ጽዮን ማርያም ቄስ በመምሰል በአክሱም ከተማ በክርስትያኖች ላይ ጭፍጨፋ ሲፈጸም በአይኔ አይቻለሁ ብሎ ለአምነስቲ ኢንተርናሽናል የውሸት መረጃ የሰጠው እና በአሜሪካን ሀገር	የአክሱም ጽዮን ማርያም ካህን መስሎ የሰጠው	am	1.0	1.0	1	1	0.8333333333333334
4517	ለቅሶ ፖለቲካ።አደገኛ ሙሾ ታወርጂ የለ።ፓርታይም ሽቀላውን አጣጡፈሽዋል።በርቺ እስክትዬዢ	የሚያለቅስ ፖለቲካ። አደገኛ የሀዘን ግንብ የለም። ፓርቲውን አበላሽተውታል።	am	1.0	1.0	1	1	0.6666666666666666
4519	የተንቆቆ ዘረኞ ሽማግሌ በዚ እድሜው ምን የህል ደደብ እንደሆነ አየነገረን ነው .	በዚህ እድሜው ዘረኛ ሽማግሌ ምን አይነት መጥፎ ሰው እንደሆነ ነግሮት አያውቅም	am	1.0	1.0	1	1	1.0
4523	እንዳንተ አይነቱ ላፕቶፕ ላይ ተወዝፎ የሚውል ቦቅቧቃ የአማራ ህዝብ ጠበቃ ሊሆን እይችልም። ልብ ያለው አገሩ ገብቶ ከ	በላፕቶፕ ላይ የሚውል ሰው ለአምህ ጠበቃ ሊሆን አይችልም።	am	1.0	0.5	0	1	1.0
4532	ጋንትዝ በእውነት ተሳስተሃል በወንጀል ውስጥ ተከሳሹን ትደግፋለህ ስለሆነም ህዝብን ችላ በማለት በጠቅላይ ሚኒስትሩ ጥፋት ተባባሪ ነዎት ፡፡ ከመንግስት ይ	ጋንትዝ በእውነቱ ተሳስተሃል፣ ተከሳሹን በወንጀል ትደግፋለህ፣ ስለዚህ አንተ	am	0.5	1.0	1	1	0.6666666666666666
4548	መሪዎች ሃላፊነታቸውን ካላወቁ: ለህዝቡ እርግማን ነው:: መደመር እያልክ መቀነስና ዘር ማጥፋት ትልቁ ክህደት ነው	መሪዎች ኃላፊነታቸውን ካላወቁ፡ እርግማን ነው። መቀነስ እና ማጥፋት	am	1.0	1.0	1	1	1.0
4563	. ከባድ የጦር መሳሪያዎችን ደምስሰን ከጥቅም ውጪ አድረገናል ብሎ መግለጫ ሰጥቶ አልነበር እንዴ ይሄኛው ከየት መጣ ባጫ ግን ጤነኛ ነው? በመለስ ግዜ ኦነግን	ከባድ መሳሪያዎችን አወደምን ከጥቅም ውጪ አደረግናቸው ብሎ መግለጫ አልሰጠም?	am	1.0	1.0	1	1	0.8333333333333334
4572	አንተ ማለት ወራዳ ሌባ ነህ ሙያህን ሠው ገደልክበት የአማራ እናቶች እንዳይወልዱ ለማምከን ብዙ ሠርተሀል ውሸታም እና አስመሳይ ነህ ገና በፍትህ ፊት ትቆማለህ ሌባ ሌባ ሌባ ገዳይ ki	ሙያህን ገድለሃል። አማራን ለማምከን ብዙ ሰርተሃል	am	1.0	1.0	1	1	1.0
4573	ለነገሩ በውቅቱ ተጠቃሚ ስለነበርክ ብዙ ብታውራ አይገርምም ውሻ በበላበት ነው።	ደግሞም አንተ የእውቀት ተጠቃሚ ስለነበርክ ምንም አያስደንቅም።	am	1.0	1.0	1	1	1.0
4577	ምንም የምታደርጊው ነገር ፣ ደካሞች ነሽ ፣ እንደዚህ አይነት ነገር በጭራሽ ማድረግ አትችይም ፣ ወላጆችሽ ይንቁሻል እናም ወንጌልን ከእርስዎ ጋር ያካፍላሉ ፣ ግን እንደዚህ ያሉ ፈተና	ምንም ብታደርጉ, እንደዚህ አይነት ነገር በጭራሽ ማድረግ አይችሉም, ወላጆችዎ ያደርጋሉ	am	0.5	1.0	1	1	0.8333333333333334
4579	ክፋት ያማረው ደግሞ እንዲህ ይላል ምን ማፈሪያው ነው፡፡ እንዴት የጣቷን ልክ አያውቀውም?	ክፋት ያምራል ምን ነው ነውር ነው ይላል። እንዴት አያውቅም	am	1.0	1.0	1	1	1.0
4580	አንድ በእንድ የተንኮል ሴራህ እና የውሸት propaganda አለመሳካኩቱ ደስ ሲል አቦ ። ለማንኛውም ውሃ እየጠጣህ	ያንተ ሴራ እና የውሸት ፕሮፓጋንዳ አንድ በአንድ በመጥፋቱ ደስተኛ ነኝ። ለማንኛውም	am	1.0	1.0	1	1	1.0
4585	ጠቅላይ ሚኒስትሩ አብሮ የኖሩትን ድርጅት ጠላት ብለው ሲጠሩ እንዴት አይሰቀጥጣቸውም? እኔ ለነሱ እሸማቀቃለው። ኢንጅነር ይልቃል	ጠቅላይ ሚኒስትሩ አብረው የኖሩትን ድርጅት ብለው ሲጠሩት እንዴት አይደነግጡም።	am	1.0	1.0	1	1	0.5
4599	መጠግያየ በለው ውንጂ ነገ መሮጥህ ኣይቀርም StopGenocideInTigray AllowAccessToTigray	የዘር ማጥፋት ይቁም ትግራይን ይፍቀዱ	am	0.5	1.0	1	0	0.6666666666666666
4600	ኢንጂነር ምናለ የተጨፈጨፉት አማሮች ግድ ሳይሎት ይህንን ወሬ የምስራች ብለው ይመጣሉ እግዚአብሔርን ይፍሩ።	ኢንጅነር ማኔላ የተጨፈጨፉት ዐማሮች ያለማንም የምስራች ሆነው ይመጣሉ	am	1.0	1.0	1	1	0.5
4606	ነፃ አውጪ ሆኖ ትግል ይቀጥላል . ሰላም ይደፈረሳል . ሁሉም በእኩልነት ማሳተፍ ነው የሚያስፈለገው . ጀዝባ	እሱ ይቀጥላልሠ ነፃ አውጪ ሆኖ መታገል። ሰላም ይጠፋል። ሁሉም ሰው ያስፈልገዋል	am	1.0	0.5	0	1	1.0
4608	ሚስቱና ልጆቹ አመሪካን አስቀምጦ ሚስክን የኢትዮጵያ ህዝብ አይዛቹ ተዋጉ እያለ የሚጮህ የሰይጣኖች ቤተሰብ ነው የሚባል ፈርቶ ወይም ሙቶ ነው ወይም በከባድ በሽታ ታሞ ይሆናል በቀን	ሚስቱን እና ልጆቹን አሜሪካ አስቀምጣቸው እና ያንን የሚጮህ ቤተሰብ ነው በል።	am	1.0	1.0	1	1	1.0
4611	እንግዲህ የተገለጠላት እውነት ለእኛም እስኪታየን መፀለይ ነው : ግን ምን አለ ሙያውንም ኣብራ ባታሰድብ?????	ስለዚህ የተገለጠላት እውነት እንድናይ መጸለይ ነው።	am	1.0	1.0	1	1	0.8333333333333334
4614	ምነው ቅድም ገደል ግቡ ስትል አልነበር ምን እንደ እስስት ትቀያየራለህ?እዚህም የሚጠላህ የለም አልደረስንባችሁም አትድረሱብን ይሄን ማፈርያ ስራ ተ	ለምን መጀመሪያ ገደል ግባ አትልም? ለምን ትቀይራለህ	am	1.0	1.0	1	0	1.0
4619	ጅቡቲ ሄደህ ዲፕሎማሲ የምትመስል ነገር ይዘህ መጣህና እንደትልቅ ነገር ጉራህን ትነፋባችኋለህ ። አንተ እንኳ ለኢትዮጵያ ለጅቡቲም አትመጥንም ።	ጅቡቲ ሄደህ ዲፕሎማሲ የሚመስል ነገር ይዘህ ተመለስክ እና	am	1.0	1.0	1	1	0.6666666666666666
4620	የሞቀ ሰው ከነ አልጋው ተዘጋጅቷል ፤ እዛው ዛፍ አቅፈህ እደር.ግን አልልህም	ሞቃታማ ሰው ከሆነ, አልጋው ዝግጁ ነው; ዛፉን አቅፈው ተኛ	am	0.5	1.0	1	1	0.5
4628	አይ በርሔ፣ ጊዜ ያለፈብህና የማይገባህ አይነት ትመሥለኛለህ	አይ በርሄ ጊዜው ያለፈበት መስሎህ ነው።	am	1.0	1.0	1	1	0.8333333333333334
4635	በጀዋር እና በአብይ መንግስት አትደግፉ በአማራ ላይ ያነጣጠረ የሴራ ፓለቲካውን እያያችሁ አብይ የተባለን እባብ ጭራሽ ለሀገራችን የሚሆን አይደለም የሱን ተራ እንጠብቅ	የጃዋርን እና የአብይ መንግስትን አትደግፉ። ላይ ያነጣጠረውን የሴራ ፖለቲካ አይተናል	am	1.0	1.0	1	1	1.0
4649	ሎሬት ፀጋዬ ገ/መድህን ሐቅ ለሚለው ፅሁፋቸው ሴኮ ቱሬ የሚባል መርዝ ቋቅ የሚል ትፋቱን ወያኔ አ.አ የገባ ሰሞን በሬድዮ ደጋግሞ ያደነዘዘን ዛሬ ትዝ አለኝ። አይ ጊዜ.ጌዜ ለሁሉም መልስ አለው።	ዛሬ የሎሬት ጸጋዬ ገ/መድህን ሀቅን መጣጥፍ ትዝ አለኝ	am	1.0	1.0	1	0	1.0
4650	ፍቅር ለማስተማር ፖስተር ጴንጦ መሆን አያስፈልግም።	ፍቅርን ለማስተማር ፖስተር መሆን አያስፈልግም።	am	1.0	1.0	1	1	0.8333333333333334
