Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
1826	إقرأ كتاباً أيها المعادي للسامية !	اقرأ كتابًا حول هذا الموضوع!	ar	1.0	0	1.0	1	1
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	يعني الفرش يستخدمونه للمساجد دون غيرها وإذا كان...	ar	1.0	1	1.0	1	1
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	هل ضربتك كثيرًا وتركتك تفعل هذا الفعل؟؟؟	ar	0.5	1	1.0	1	1
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	دولة تسمح لأهل إيران بالاقامة على ارضها تحمل خطرًا كبيرًا.	ar	1.0	1	1.0	1	1
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	يلعن كيف الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1	1.0	1	1
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم. الله يحفظك	ar	1.0	0	1.0	1	1
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم ينشد هالفار وينرمى	ar	1.0	1	1.0	1	1
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	هل هذا الملعب يلعب عليه لاعبون بمبالغ مالية وتكاليف إقامة وسفر؟	ar	1.0	1	1.0	1	1
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما هي مميزاتك لو رسمت شجرة العائلة؟	ar	1.0	1	1.0	1	1
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا؟ أذيتم السوريين و تدمرت البلاد و عم تسرقو من الشعب	ar	1.0	1	1.0	1	1
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب غير الناجح يجعلني أشعر بالغثيان	ar	1.0	1	1.0	1	1
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	ماذا حدث بالضبط؟ ما الأمور التي كانت تتوقعين أن تفعليها لتحقيق النجاح؟	ar	1.0	1	1.0	1	1
1902	بس نهى للحين ماتغيرت لحجية	واضح إنه نهى لسه ما تغيرت	ar	1.0	0	0.6666666666666666	1	1
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	الشخص الذي يدرس بوزن زائد ويفضل عدم فقدان الوزن، يقوم بدراسة غير حقيقية، ولا يتلاعب بكم.	ar	1.0	1	1.0	1	1
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على دوري كله مضحك	ar	1.0	1	1.0	1	1
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ مو مثلكـ	ar	1.0	1	1.0	1	1
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع المواد قانونيًا؟	ar	1.0	1	0.8333333333333334	1	1
1940	دوري زبايل زيك كعادتك دايما	أصدقائك مثلك كثيرًا كما هو عادتك دائمًا	ar	1.0	0	1.0	1	1
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	أنا بقرأ المانجا عشان هيك. المهم ما بدي أتحمس وأحرق، خليني هادية.	ar	1.0	1	1.0	1	1
