Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	सत्ता का उपयोग अच्छे तरीके से नहीं किया जाता है, तो समस्या पैदा होती है।	hi	1	1.0	1	0	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वह व्यक्ति जो डरा हुआ था, कौन था?	hi	1	1.0	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	सुधार करना चाहिए, अन्यथा समस्या पैदा हो सकती है।	hi	1	1.0	1	0	1.0
642	भौसडीके शायरी ग़लत हो गयी  	भौसडीके की शायरी में कुछ गलतियां हुई हैं।	hi	1	1.0	1	1	0.5
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	यह व्यक्ति इमाम बोलने में कोई समस्या हो सकती है।	hi	1	1.0	1	0	1.0
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	कांग्रेस पार्टी के कुछ सदस्यों में अभी भी कुछ पुराने विचार रहते हैं।	hi	1	1.0	1	0	0.8333333333333334
656	ओर ये साली सुअर सरकार सो रही है	और यह सरकार भी सो रही है।	hi	1	1.0	1	1	1.0
662	सबसे ज्यादा कमीना तू है	आपका यह व्यवहार अच्छा नहीं है।	hi	1	1.0	1	0	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	हमें यह समझना चाहिए कि हम सभी एक दूसरे के प्रति सम्मान करते हैं।	hi	1	1.0	1	0	1.0
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	यह व्यक्ति रात भर नाचते रहे और अब थक गया है।	hi	1	1.0	1	0	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	अभी भी उस महान व्यक्ति की खोज में हैं।	hi	1	1.0	1	0	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	सरकार और नेताओं के सभी लोगों को अधिक सम्मान और जिम्मेदारी की भावना होनी चाहिए।	hi	1	1.0	1	0	1.0
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	उन्हें जेल भेजना चाहिए। यह रोना रोने का व्यवहार अच्छा नहीं है।	hi	1	1.0	1	0	1.0
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	आपके दोस्त पाकिस्तान का वर्ल्ड कप से बाहर हो जाने से परेशान हैं।	hi	1	1.0	1	0	1.0
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	अपने नाम को बदलकर बेहतर प्रतीत हो सकता है।	hi	1	1.0	1	0	1.0
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	कुछ लोग गुजरात ट्रांसफर के नाम पर गलत काम कर रहे हैं।	hi	1	1.0	1	0	1.0
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	यह स्पष्ट है कि कोहली धोनी से बेहतर है।	hi	1	1.0	1	0	1.0
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	धमकी देने का यह व्यक्ति गलत तरीके से व्यवहार कर रहा है।	hi	1	1.0	1	1	1.0
746	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	इन लोगों को उनकी गलतियों के बारे में बताना चाहिए।	hi	1	1.0	1	1	1.0
749	कमीने, दुश्मन से गले मिल गये?	यह व्यक्ति अपनी भावना को समझाने की कोशिश कर रहा है।	hi	1	1.0	1	0	1.0
754	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	धोनी के लस्ट ओवर में मारते हुए, कुछ लोगों ने चिल्ला दिया।	hi	1	1.0	1	0	1.0
758	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	यह विचार力, जो जानवरों से भी प्यार करता है, इंसान के लिए अच्छी है।	hi	1	1.0	1	1	1.0
766	भोसडीके थोड़ा सा तो शर्म कर	कृपया अपनी गलतियों को स्वीकार करें।	hi	1	1.0	1	0	1.0
