Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	neutral_fluency	fluency_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	跑国外去了不就很好嘛，要是去非洲服务那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	zh	0.5	1	0.0	0	0.5
1230	一位优秀的接盘侠????	一位优秀的接盘侠????	zh	1.0	1	1.0	1	0.5
1234	我媳妇也会打拳！??	我媳妇也会！??	zh	1.0	1	1.0	1	0.6666666666666666
1242	丑的一批、呸	丑的一批、	zh	1.0	1	1.0	1	0.5
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报，收入不菲	zh	1.0	1	1.0	1	0.3333333333333333
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有吃。没必要这么	zh	1.0	1	0.5	0	0.6666666666666666
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	对，这洽洽是对所有中国人的，所以排他们，他们。	zh	1.0	1	0.5	0	0.6666666666666666
1262	这男的也是啥pei给女的当狗活该	这男的也是啥pei给女的当狗	zh	0.5	1	1.0	1	0.5
1269	很快就能解封的，性取向变态患者搞得鬼	很快就能解封的，性取向患者得鬼	zh	1.0	1	0.5	0	0.6666666666666666
1280	好 不和牛马一般见识??	好 不和一般见识??	zh	1.0	1	0.5	0	0.5
1291	黑人的舔狗其实比黑人更可恨	黑人的其实比黑人更可恨	zh	1.0	1	0.0	0	0.6666666666666666
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	????肯定是自己造成的呀，不配娶她们	zh	1.0	1	1.0	1	0.6666666666666666
1302	没见过基佬工程师	没见过工程师	zh	1.0	1	1.0	1	0.6666666666666666
1322	黑河南、黑北方的都是南满	黑河南、黑北方的都是	zh	1.0	1	0.0	0	0.8333333333333334
1331	因为智商低，容易被女的pua,价值观都偏了	因为低，容易被女的,价值观都偏了	zh	1.0	1	0.0	0	0.8333333333333334
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	这个真没看清楚，只见到两人撕打，女的一边打一边，让“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	zh	1.0	1	0.5	0	0.8333333333333334
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里及其它们后代必定是比它们亲生父母还要亲	zh	1.0	1	0.5	0	0.5
1340	这个鸡佬，喜欢精神胜利，是一个辣鸡	这个，喜欢精神胜利，是一个	zh	1.0	1	0.0	0	0.6666666666666666
1346	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见一样害怕的	zh	1.0	1	0.5	0	0.6666666666666666
1349	楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱	楼主啊！我记得这是某位女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶	zh	0.5	1	1.0	1	0.6666666666666666
1354	我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??	我同事女朋友和黑人了，??，他吓一跳，立马去医院，爱就一个滋??	zh	0.5	1	0.5	1	1.0
1358	日本这次为了sb政治正确，所谓修正别人排外的观点。，才搞了一堆混血运动员，这简直是nt。不过日本本身混血比例很低。	日本这次为了政治正确，所谓修正别人排外的观点。，才了一堆混血运动员，这简直是。不过日本本身混血比例很低。	zh	1.0	1	0.5	0	1.0
1366	我女的想法和你一样我也厌女	我女的想法和你一样我也	zh	1.0	1	0.5	0	0.5
1376	普信男：都怪老师太漂亮穿的裙子太短！	男：都怪老师太漂亮穿的裙子太短！	zh	1.0	1	1.0	1	0.6666666666666666
1383	其实我对男同怎么的还真没什么看法，我歧视的是在到处瞎叫唤男男的女生，她们没觉得自己很恶心吗？还好意思指责别人鄙视同性恋，都是她们整臭的??????	其实我对怎么的还真没什么看法，我的是在到处叫唤男男的女生，她们没觉得自己很吗？还好意思指责别人鄙视同性恋，都是她们整臭的??????	zh	1.0	1	0.5	0	0.6666666666666666
1386	所以我为啥要在乎白皮的歧视呢？我生活在中国呀	所以我为啥要在乎的呢？我生活在中国呀	zh	1.0	1	1.0	1	1.0
1388	你们活该罢了，雪崩之时没有一片雪花是无辜的	你们罢了，雪崩之时没有一片雪花是无辜的	zh	1.0	1	1.0	1	0.5
1403	正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑	正什么歪成什么样子了都是群满嘴道德仁义的在搞笑	zh	1.0	1	0.5	0	1.0
1407	舔狗让他死就行了，杀鸡儆猴么，一个舔狗不死，其他舔狗怎么觉醒？	让他就行了，杀鸡儆猴么，一个不，其他怎么觉醒？	zh	1.0	1	0.5	0	0.8333333333333334
1414	??我觉得大部分人都是图个新鲜感，甚至有些人网络上说自己支持同性恋，在大街上看到两个大叔搂搂抱抱甩出一句好恶心。??	??我觉得大部分人都是图个新鲜感，甚至有些人网络上说自己支持同性恋，在大街上看到两个大叔搂搂抱抱甩出一句好。??	zh	1.0	1	0.5	0	1.0
1415	深柜竟在反同身边	深柜竟在身边	zh	1.0	1	1.0	1	0.6666666666666666
1418	还有人说默是人？	还有人说默是人？	zh	1.0	1	1.0	1	0.5
1422	活该，谁叫你们接盘的	，谁叫你们接盘的	zh	1.0	1	1.0	1	0.5
1431	如果真的是男的，则废物测试没通过	如果真的是男的，则测试没通过	zh	1.0	1	1.0	1	0.6666666666666666
1433	上海河南广东，春晚三大被黑惨烈的地方，春晚一向这么搞很恶心的	上海河南广东，春晚三大被黑惨烈的地方，春晚一向这么很的	zh	1.0	1	0.0	0	0.6666666666666666
1436	总而言之，现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松。也不知道女拳哪里不满>_<，或许整容也整不出来？	总而言之，现在就是女人最好的年代，不作妖，，整容的能好看，找一个中产阶级以上轻轻松松。也不知道哪里不满>_<，或许整容也整不出来？	zh	1.0	1	1.0	1	0.6666666666666666
1446	再一个，眼睛不要的话，这边建议您捐出去呢	再一个，眼睛不要的话，这边建议您捐出去呢	zh	1.0	1	1.0	1	0.5
1447	至于普信男，呵呵那些金针菇除了抱团取暖就没有别的本事。游艇？你让普信男变魔术还是变魔法呀	至于男，呵呵那些除了抱团取暖就没有别的本事。游艇？你让男变魔术还是变魔法呀	zh	1.0	1	1.0	1	1.0
1449	很合理啊，这不就是正常要求嘛？可惜蝈女基因不行。估计完成不了几条	很合理啊，这不就是正常要求嘛？可惜基因不行。估计完成不了几条	zh	1.0	1	1.0	1	0.6666666666666666
1453	一个烂货，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。	一个，有，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她。	zh	1.0	1	0.5	0	0.3333333333333333
