Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً أيها المعادي للسامية !	ar	1.0	1.0	1	1	0.5
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد...	ar	1.0	1.0	1	1	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك	ar	0.5	0.5	1	1	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة اعداء الأسلام والمسلمين والعرب عمومًا	ar	1.0	1.0	1	1	1.0
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم	ar	1.0	1.0	1	1	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي	ar	1.0	1.0	1	1	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر	ar	1.0	1.0	1	1	0.8333333333333334
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الي جلادة ارسم شجرة العيلة 😂 بزرة	ar	1.0	1.0	1	1	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ،	ar	1.0	1.0	1	1	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي يجعلني أشعر بالغثيان	ar	1.0	1.0	1	1	0.8333333333333334
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
1902	بس نهى للحين ماتغيرت لحجية	بس نهى للحين ماتغيرت	ar	1.0	1.0	1	1	1.0
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسه مايبي ينحف دراسه لايلعب عليكم	ar	1.0	1.0	1	1	1.0
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على دوري كله خخخخخ	ar	1.0	1.0	1	1	1.0
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ مو مثلكـ ههههههههههههههههههه	ar	1.0	0.5	0	1	1.0
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1.0	1	1	1.0
1940	دوري زبايل زيك كعادتك دايما	دوري زيك كعادتك دايما	ar	1.0	1.0	1	1	1.0
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	ar	1.0	1.0	1	1	0.5
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	ar	1.0	1.0	1	1	0.8333333333333334
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا؟ كل ماصار شيء	ar	1.0	1.0	1	1	1.0
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الاتراك موجودين غصبا عن واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي...	ar	1.0	1.0	1	1	1.0
1966	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم	ar	1.0	1.0	1	1	1.0
1976	لا شرطي روسي يا ابن الستين كلب	لا شرطي روسي	ar	1.0	1.0	1	1	1.0
1983	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	دي مش مشكله بالنسبة للدفعة عشان كلهم ناس	ar	1.0	1.0	1	1	0.8333333333333334
1986	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	ماطلعلكم صوت فوق السرقة تسئلون وش مشكلتك وبعدها تختفون ماتردون الله عليكم وعلى من جمعكم شركة نصب	ar	1.0	1.0	1	1	1.0
1988	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم	ar	1.0	1.0	1	1	0.8333333333333334
2003	يمه فجاءه صارو كلهم صعايدة	يمه فجاءه صارو كلهم رجال	ar	1.0	1.0	1	1	1.0
2007	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا رجال دوري ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	ar	1.0	1.0	1	1	0.8333333333333334
2014	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	ar	1.0	1.0	1	1	1.0
2015	كس أختك على أختو شهيد قال	أختك على أختو شهيد قال	ar	1.0	1.0	1	1	1.0
2018	أولئك هم الجيل القادم من المشردين البائسين .	أولئك هم الجيل القادم من المشردين.	ar	1.0	1.0	1	1	0.8333333333333334
2022	يا عمي هيدا الزلمي جاهل	يا عمي هيدا الزلمي جاهل	ar	1.0	1.0	1	1	0.5
2031	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم	ar	1.0	1.0	1	1	1.0
2033	أنا لم أصوت للكذاب	أنا لم أصوت للكذاب	ar	1.0	1.0	1	1	0.5
2036	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	تدري انك قاعد تتابع المباراة و انا ازغل عليك	ar	1.0	1.0	1	1	1.0
2046	امم جمال جد جد لبويتين شراميط واقفين مع بعض	امم جمال جد جد لبويتين واقفين مع بعض	ar	1.0	1.0	1	1	1.0
2047	الشرطة ليس لديها وقت لهذا الهراء	الشرطة ليس لديها وقت لهذا	ar	1.0	1.0	1	1	1.0
2049	* معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا حمار انت صح	معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت صح	ar	1.0	0.5	0	1	1.0
2053	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	ar	1.0	1.0	1	1	0.5
2064	واحد متخلف معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…	واحد معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن...	ar	1.0	1.0	1	1	1.0
2065	كيف بدك تحررها بمزيد من التطبيع مع الصهيونب والمباركة لذلك ..	كيف بدك تحررها بمزيد من التطبيع مع الصهيونب والمباركة لذلك ..	ar	1.0	1.0	1	1	0.5
2069	واو، تحدث عن تعليق جاهل.	واو، تحدث عن تعليق ساذج.	ar	1.0	1.0	1	1	0.6666666666666666
2072	سينظرون إليه كمهرج طفولي يجب التعامل معه بحذر.	سينظرون إليه كم طفلي يجب التعامل معه بحذر.	ar	1.0	1.0	1	1	1.0
2075	اقسم بالله فريق بدون شخصيه لعنة الله عليكم	اقسم بالله فريق بدون شخصيه	ar	1.0	1.0	1	1	1.0
2078	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟ الله يلعن ابوك وابو	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟	ar	1.0	1.0	1	1	1.0
2106	الجدال الغبي الذي قرأته هنا يجعلني أهز رأسي	الجدال الذي قرأته هنا يجعلني أهز رأسي	ar	1.0	1.0	1	1	1.0
2111	يلعن امك يا كونتي من اول تنزله	يرحم امك يا كونتي من اول تنزله	ar	1.0	1.0	1	1	1.0
2113	مهي عشان كدة اسمها مخابرات يا غبي	مهي عشان كدة اسمها مخابرات	ar	1.0	1.0	1	1	1.0
2117	بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيزي ؟	بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيني ؟	ar	1.0	0.5	0	1	0.8333333333333334
2119	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من زنجي وغسيل حمامات وانتي بكرامه. اللهم عافانا	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من وغسيل وانتي بكرامه. اللهم عافانا	ar	1.0	1.0	1	1	1.0
2123	لا تصير غبي ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	لا تصير ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	ar	1.0	1.0	1	1	1.0
2132	متى سيحين المستقبل القريب لهؤلاء المهرجون؟	متى سيحين المستقبل القريب لهؤلاء؟	ar	1.0	1.0	1	1	1.0
2148	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون أغبياء لاستخدامه.	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون غير مناسبين لاستخدامه.	ar	1.0	1.0	1	1	1.0
2163	قل لهم جميعاً أن يحتفظوا به في مؤخراتهم .	قل لهم جميعاً أن يحتفظوا به في مؤخراتهم .	ar	1.0	1.0	1	1	0.5
2172	الله يلعن أبوك فريق . لاعب يستلم من الجناح وياخذ الملعب اختراق ويسجل هدف والحارس ما يحتاج أكمل	الله يرحم أبوك فريق . لاعب يستلم من الجناح وياخذ الملعب اختراق ويسجل هدف والحارس ما يحتاج أكمل	ar	1.0	1.0	1	1	1.0
2173	طيب وخر لا ادعسك 😭😭😭😭😭😭🌚	طيب وخر لا ادعسك 😭😭😭😭😭🌚	ar	1.0	1.0	1	1	0.6666666666666666
2177	عايزين تنهبوا المقيمين وخلاص لعنة الله عليكم	عايزين تنهبوا المقيمين وخلاص	ar	1.0	1.0	1	1	1.0
