Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	Якщо ви трохи почерпнете смертних, які знищують людей в Європі, ви	uk	1.0	1	1	0	0.8333333333333334
30	Хочеться бухати, читати хуйню і писати хуйню.	Я хочу пити, читати і писати.	uk	1.0	1	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	Я психопат, я не хочу пам'ятати	uk	1.0	1	1	0	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про переклад і мудрість.	uk	0.5	1	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Вибачте за мою сміливість, але Сократ не згоден.	uk	1.0	1	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди фільтрують все за Божими законами.	uk	1.0	1	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А потім ви йдете і думаєте про те, що відбувається.	uk	0.5	1	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	Чому б нам не зробити обов'язковим навчання англійської всім людям, які	uk	1.0	1	1	0	1.0
69	В мене завтра свіданка блять.	Завтра на світанку я буду засмучений.	uk	1.0	1	1	0	1.0
80	Довелося 15 хвилин чекати ту курву.	Мені довелося чекати 15 хвилин на цю людину.	uk	1.0	1	1	0	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Я думаю, що мій стоматолог скаржився, що я багато мочаюся.	uk	1.0	1	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Я теж, але я поганий, і я завжди вдома, і там	uk	1.0	1	1	0	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Я піду відпочити, купити собі щось смачне.	uk	0.5	1	1	0	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	Коли ти почнеш ставити запятниці в твіті?	uk	1.0	1	1	0	1.0
131	І що бля, це більшість жінок почувається — отак??	І що ж це таке, що відчуває більшість жінок?	uk	1.0	1	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	ми щось забули про дитину, Кевіне.	uk	0.5	1	1	0	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Не втягуйте мене у свій культ цукру.	uk	1.0	1	1	0	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"На всякий випадок, навчіться фразу ""куди ти йдеш?"" на кількох мовах."	uk	1.0	1	1	1	1.0
146	і хтось це ябо я не пизджу чуже	А хтось - Ібо. Я не говорю погано про інших.	uk	1.0	1	1	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	Ранній птах отримує черв'яка.	uk	1.0	1	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб все було краще для мене, я повинен був займатися сексом, і всі дівчата померли.	uk	1.0	1	1	0	0.6666666666666666
158	 можеш послати мене нахуй, якшо хочеш.	Ти можеш з мене зводити, скільки захочеш.	uk	1.0	1	1	0	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	Я отримав замовлення минулого тижня і відправив його відразу.	uk	1.0	1	1	0	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Коли я спала і була в океані, ти все думала про iPhone	uk	1.0	1	1	0	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити більше мов, але не можу.	uk	1.0	1	1	1	1.0
186	Хвала небесам, що мені похуй на укладку	Слава Богу, що мені байдуже, як тут все склалося.	uk	1.0	1	1	0	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	Я обладнала все і не обладнала.	uk	0.5	1	1	0	1.0
203	 блядь, жінко, там і тридцятник недалеко.	Там 30-річний чоловік.	uk	1.0	1	1	0	1.0
207	Тому унилоє гавно залишається в КП, а я відправляюсь в путь.	Отже, моноцикл залишається на станції, а я йду.	uk	1.0	1	1	0	1.0
214	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй	Гуманітарні науки біжать, технічні фахівці біжать, всі біжать.	uk	1.0	1	1	0	1.0
215	Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять	Холодно, дівчинка зникла, птахи кричать, вони проклинають.	uk	1.0	1	1	0	1.0
218	Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер хуй засне	Боже, це нудно.	uk	1.0	1	1	0	1.0
222	І рибку, і на хуй, та?	І рибу, а?	uk	1.0	1	1	0	1.0
231	Я знаю, дякуюЩе мудака забула...ну і послати мене нахуй	Я знаю, дякую, ти забув.	uk	1.0	1	1	0	1.0
233	От вам моя експертна думка: ніхуя англійці не розуміють в революціях!	Ось моя експертна думка: англійці не знають про революції!	uk	1.0	1	1	1	1.0
236	"почуте днями біля екс-тудора: ""бог триєдиний, блядь"""	"Ви чули це в інший день в екс-репетитор: ""Бог"	uk	1.0	1	1	0	1.0
246	пиздуйте в вк ті дєла обговорювати	Йди до кабінету, ми обговоримо це.	uk	1.0	1	1	0	1.0
247	Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.	Це твій будинок, і ти можеш привести там бомжа.	uk	1.0	1	1	1	1.0
249	На скільки справ ще не покладено хуй!	Скільки ще не зроблено!	uk	1.0	1	1	0	1.0
253	блять як сенс життя с:	Я буду тим, хто буде тим, хто буде	uk	1.0	1	1	0	1.0
264	 предмет не важливий, тож похуй.	Тема не є важливою, тому ігноруйте її.	uk	1.0	1	1	1	1.0
265	Потягів без орущих піздюків не існує.	Без пороху не буває поїздів.	uk	1.0	1	1	0	1.0
269	Блять, ви такі кумедні що пізда.	Ви такі смішні.	uk	1.0	1	1	1	1.0
272	Замовила, відправили....сукаааа чого ж в найкращих забирають життя...	Я наказав, я відправив.	uk	1.0	1	1	0	1.0
275	Ні, не розумієте(Відсилка до хуйової реклами)	Ні, ти не розумієш.	uk	1.0	1	1	0	1.0
278	пиздуй спати, бо подзвоню в 5 і ніхуя ти ващж не виспишся	Іди спати, інакше я зателефоную о п'ятій і ти не заснеш.	uk	0.5	1	1	0	1.0
306	На хуй зранку краще заходить	Вранці краще.	uk	1.0	1	1	0	1.0
311	"Ната, ти пізда""Або просто бесіда з Натою і Владом."	Ната, ти запізнилася, чи просто поспілкувалась з Владом?	uk	1.0	1	1	0	1.0
