Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трішки дослідити причини, по яких люди в Європі страждають, обов'язково вилізе сутність проблеми.'	uk	1.0	1.0	1	0	1.0
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться пити, читати та писати.	uk	1.0	1.0	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	Мені це переживання викликає біль, і я не хочу про це згадувати	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво та неукоренну роботу | стрнґ	uk	0.5	0.5	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке неортодоксальне мислення, але Сократ дискутує про це.	uk	1.0	1.0	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди повинні дотримуватися законами	uk	1.0	1.0	1	0	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, шо навколо відбувається	uk	0.5	1.0	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, чому не можна зобов'язати всіх людей, які контактують з іноземцями, вивчити англійську?'	uk	1.0	1.0	1	1	1.0
69	В мене завтра свіданка блять.	У мене завтра свідка буде.	uk	1.0	1.0	1	0	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту жінку.	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене висловили свої зацікавлення моєму стоматологу, що я відвідую багато.	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але в дому є щось цікаве, що мене там тримає.	uk	1.0	1.0	1	0	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі сніданок і буду відпочивати	uk	0.5	1.0	1	1	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	коли ти нормально коми ставити будеш, на твої твіти дивитись соромно.	uk	1.0	1.0	1	1	1.0
131	І що бля, це більшість жінок почувається — отак??	І що більшість жінок відчувають так??	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забулипро дитину, оскільки ми забули	uk	0.5	1.0	1	0	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Не хочу бути залученим до вашої організації, я вважаю, що це не для мене.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"Про всяк вакцини фразу ""куди преш?"" для троли"	uk	1.0	1.0	1	0	0.8333333333333334
146	і хтось це ябо я не пизджу чуже	і хтось це ябо я не схвалю чуже	uk	1.0	1.0	1	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше успішно встигає виконати свої задачі.	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, тре лиш секс і шоб жінки, які мене ображають, не існували.	uk	1.0	1.0	1	0	1.0
158	 можеш послати мене нахуй, якшо хочеш.	Можеш відправити мене в іншу ситуацію, якщо це є вашим бажанням.	uk	1.0	1.0	1	1	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	в мене на минулому тижні було замовлення, одразу я отримав відповідь.	uk	1.0	1.0	1	0	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Поки я спала та залишалася в морі, ви дбали про айфон.	uk	1.0	1.0	1	1	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити ще багато мов, але це може бути складним.	uk	1.0	1.0	1	1	1.0
186	Хвала небесам, що мені похуй на укладку	Хвала небесам, що мені не важливо укладку	uk	1.0	1.0	1	1	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	'Я ахуєла і не змогла видалити пам''ять'	uk	0.5	1.0	1	0	0.6666666666666666
203	 блядь, жінко, там і тридцятник недалеко.	жінка живе там, приблизно в 30 кілометрах.	uk	1.0	1.0	1	0	1.0
207	Тому унилоє гавно залишається в КП, а я відправляюсь в путь.	Тому унілоє залишиться в КП, а я відправляюся в дорогу.	uk	1.0	1.0	1	1	1.0
214	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй	Бісять гуманітарії, бісять технарі, усі мають різні навички, ідіть нахуй	uk	1.0	1.0	1	0	0.5
215	Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять	Холодно стало, дєвок не комфортно на балконі курити. Не рекомендую це робити.	uk	1.0	1.0	1	0	1.0
