Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	¡Qué manera de arruinarlo!	es	1.0	1.0	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también puede ser porque nada cabrea más a un ultranacionalista	es	1.0	1.0	1	0	0.5
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La costumbre de llevar siempre el balón pasado el medio, que crj	es	0.5	0.5	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me pasara esto	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué está pasando aquí entonces?	es	1.0	1.0	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	Dios, ¿puedes pronunciar bien las palabras de tu madre?	es	1.0	1.0	1	0	1.0
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	te tocaba ir a COMPRAR MANDARINAS EN JONATHAN	es	1.0	1.0	1	1	0.6666666666666666
4862	Hoy m pongo empedo o ke?💃🏼	Hoy me esfuerzo o que?	es	0.5	1.0	1	1	0.6666666666666666
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Acabo de recordar que el otro día le dije ""¡No te equivoques!"""	es	1.0	1.0	1	0	0.8333333333333334
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Puedes enviar todas las cosas del mundo pero yo siempre te elegiré.	es	1.0	1.0	1	1	0.8333333333333334
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen a Mr Wonderful como CM	es	0.5	1.0	1	1	1.0
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	¿No te enoja que gente asquerosa tenga pareja y tú no?	es	1.0	1.0	1	1	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	Los que no entendéis la ironía y los chistes llevados al extremo molan	es	0.5	1.0	1	1	0.5
4922	La Corte y nada la misma huevonada	La Corte y nada igual	es	1.0	1.0	1	1	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	Estoy gorda y solo quiero ir a las cenas de Navidad a comer y engordar 14	es	1.0	1.0	1	1	1.0
