Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	de	1.0	1.0	1	1	0.5
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde ich Zwangsverheiratet...?	de	1.0	1.0	1	1	0.5
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat Recht !! Was hat Vertreter der Ziegenrasse in s Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	de	0.5	1.0	1	1	0.3333333333333333
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	 Die Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	de	0.5	1.0	1	1	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	 ja mal wieder ein richtiger AfDeppenstadl am kommentieren. . komplett ungebildet und intellektuell unterversorgt.	de	0.5	0.0	0	1	0.16666666666666666
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel der Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	de	0.5	0.5	1	1	0.6666666666666666
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	lso die #fasnacht in diesem #jahr geht in die geschichtsbücher :) - soviele kinder wie noch nie :( - alle kastriert	de	1.0	0.5	0	1	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	wo ist den Ober-Bastard Voßkuhle?	de	1.0	1.0	1	1	0.5
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und NATO Schland en sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	de	1.0	1.0	1	1	0.16666666666666666
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	ja man deine Frage 😅 viel glück bei den Frauen 👍	de	1.0	1.0	1	1	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	de	0.5	0.5	1	1	0.5
