Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе їх сутність.'	uk	1.0	1.0	1	0	1.0
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться і читати , і писати вірші.	uk	1.0	1.0	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, блядьЗгадувати не хочу	uk	1.0	1.0	1	1	0.5
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво і переклад | стрнґ	uk	0.5	0.5	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке нахабство, але Сократ дискутує як 	uk	1.0	1.0	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, як наші люди всьо фільтрують божими законами	uk	1.0	1.0	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, шо за день відюувається 	uk	0.5	1.0	1	0	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, а чому ж не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1.0	1	1	1.0
69	В мене завтра свіданка блять.	В мене завтра свіданка 	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту 	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я ем багато.	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але я і так весь час дома, а там щось цікаве.	uk	1.0	1.0	1	1	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	uk	0.5	1.0	1	1	0.5
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	 ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	uk	1.0	1.0	1	1	0.6666666666666666
131	І що бля, це більшість жінок почувається — отак??	І що через це більшість жінок почувається — отак??	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забулипро дитину, блять#НічІзКевіном	uk	0.5	0.5	1	1	0.5
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Ідіть , не затягнете мене в свою цукрову секту.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"Про всяк випадок вивчи фразу "" куди преш?"" кількома мовами."	uk	1.0	1.0	1	1	1.0
146	і хтось це ябо я не пизджу чуже	і хтось це , я не люблю чуже	uk	1.0	1.0	1	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто раніше встає - той більше не встигає натвітити.	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, тре лиш секс і шоб ви здохли.	uk	1.0	1.0	1	1	0.6666666666666666
