Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half this would be locked up already.	en	1.0	1.0	1	1	1.0
3030	are they liars or just clueless ?	Are they liars or just clueless?	en	1.0	1.0	1	1	0.5
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	i still say this guy is not a good person.	en	1.0	1.0	1	1	1.0
3042	calm the fuck down , cnn .	calm down, cnn.	en	1.0	1.0	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will use a big stick to smack trump around if those 	en	1.0	1.0	1	1	0.8333333333333334
3047	cretins like this rarely care about facts .	They rarely care about facts	en	1.0	1.0	1	1	0.8333333333333334
3056	do people actually believe this shit ? ? ?	do people actually believe this???	en	1.0	1.0	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	dont you ever change one of my edits, or i will come to your	en	1.0	1.0	1	0	1.0
3069	even bush knows he fucked up .	even bush knows he is bad	en	1.0	1.0	1	0	1.0
3080	fuck popeyes for doing this in the first place .	popeyes for doing this in the first place	en	1.0	1.0	1	0	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	getting my ass kicked by gre practice tests made sure that i never make this same	en	1.0	1.0	1	1	0.6666666666666666
3092	getting stronger every month yeah i fucking wish .	getting stronger every month yeah i wish.	en	1.0	1.0	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever been to r trees and seen all the things people say weed can	en	0.5	0.5	1	0	1.0
3122	holy shit , a cop got fired ? .	a cop got fired?	en	1.0	1.0	1	1	1.0
3131	how the fuck do you manage that ? .	How do you manage that?	en	1.0	1.0	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	How do you think people afford houses and cars?	en	1.0	1.0	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the titling as laser machete and almost freak out.	en	1.0	1.0	1	1	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything you did not do.	en	1.0	1.0	1	0	1.0
3146	i dont give a flying fuck about sides ! .	i don't care about sides!.	en	1.0	1.0	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to wipe my ass and no shortage of food	en	1.0	1.0	1	1	0.5
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	i mean it's awesome that the pope is all cool like this and awesome	en	1.0	1.0	1	0	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	i sell quite a bit of stuff on there, and paypal has 	en	1.0	1.0	1	0	1.0
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	If hes found to have acted in cold blood, the feds are going	en	1.0	1.0	1	0	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it s a big deal because the school didn't care until she	en	1.0	1.0	1	0	1.0
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by the things i ve seen in my number years, number of those	en	1.0	1.0	1	1	1.0
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	it takes meminutes to resolve a page so you can fuck wikipedia up	en	1.0	1.0	1	1	0.5
3188	liar , liar pants on fire justin .	pants on fire justin	en	1.0	1.0	1	0	1.0
3203	my thoughts are that our new guy might be an even bigger dirt bag .	My thoughts are that our new guy might be an even bigger dirt bag 	en	1.0	1.0	1	1	0.5
3207	no fucking way number bricks fits in a car , this is bs .	No way number bricks fits in a car, this is bs 	en	1.0	1.0	1	1	1.0
3214	noones asking you to invade shit .	no one is asking you to invade things.	en	0.5	1.0	1	1	1.0
3215	not fucking around in foreign matters that we cannot do anything about .	not playing around in foreign matters that we cannot do anything about.	en	1.0	1.0	1	1	1.0
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	nothing but missing footage is sure going to make whatever happened during	en	1.0	1.0	1	0	1.0
3222	number will solve alot of fucking problems if it comes down to it .	number will solve alot of problems if it comes down to it.	en	0.5	1.0	1	1	1.0
3231	org there s wikipedia articles for all sorts of random shit like this .	org there s wikipedia articles for all sorts of random stuff like this.	en	1.0	0.5	0	1	1.0
3233	ouch man , them swedes were dicks to norway =\	ouch man, them swedes were bad to norway =\	en	0.5	0.5	1	1	1.0
3236	people are idiots for wasting emergency call time on crap like this .	people are not smart for wasting emergency call time on crap like this.	en	1.0	1.0	1	1	1.0
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	quite a few saints are canonized because they opposed some hierarch	en	1.0	1.0	1	1	1.0
3247	read your own fucking link .	read your own link	en	1.0	1.0	1	1	1.0
3249	same crap going on in the pnw too .	same crap going on in the pnw too.	en	0.5	1.0	1	1	0.5
3253	shit , i d love an number pm sunset .	i d love an number pm sunset.	en	0.5	0.5	1	1	1.0
3264	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	some poor guy robs a liquor store for $400 and goes to prison	en	1.0	1.0	1	0	1.0
3265	someone says no , and they say fuck off we need vets only for free housing ? .	someone says no, and they say fuck off we need vets only for	en	1.0	1.0	1	0	0.5
3269	still standing up for your lying crazy leader who loves himself and nobody else .	still standing up for your leader who loves himself and nobody else.	en	1.0	1.0	1	1	1.0
3272	sucked like nothings ever sucked before .	Sucked like nothings ever sucked before.	en	1.0	1.0	1	1	0.5
3275	taking a stand with either party is equally retarded .	taking a stand with either party is equally retarded.	en	1.0	1.0	1	1	0.5
3278	that almost never happens excepts rarely in shit hole countries .	That almost never happens excepts rarely in bad countries.	en	1.0	1.0	1	1	1.0
3306	their shit is cheap but its of such awful quality that you re better off getting the more expensive item .	their stuff is cheap but its of such bad quality that you re better off getting the	en	1.0	1.0	1	0	0.6666666666666666
3311	they need stop tratening people like morons .	they need stop tratening people like these people.	en	1.0	1.0	1	0	1.0
3313	they re both fucked up .	they re both bad	en	1.0	0.5	0	1	1.0
3317	this guy is a total sellout with no brains for business and lacks the ability of forward thinking .	This guy is not a good person for business and lacks the ability of forward 	en	1.0	1.0	1	1	1.0
3319	this is a joke , are you all fucking retards ? .	this is a joke, are you all retards?.	en	1.0	1.0	1	1	1.0
3323	this is some twilight zone shit	this is some twilight zone thing	en	1.0	1.0	1	1	1.0
3332	this shit is overwhelming to think about .	This is overwhelming to think about	en	1.0	1.0	1	1	1.0
3348	what an arse hole you are !	you are not a good person	en	1.0	1.0	1	1	1.0
