Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	Якщо трішки пошукати цих злочинців, що шкодять людям в Європі, обов'язково виявиться справжня сутність.	uk	1.0	1.0	1	0	1.0
30	Хочеться бухати, читати хуйню і писати хуйню.	 Хочеться відпочивати, читати цікаві речі і писати цікаві речі.	uk	1.0	1.0	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	 Це було дуже важко для мене, не хочу навіть згадувати.	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про переклад та мистецтво | стрнґ	uk	0.5	0.5	1	0	0.8333333333333334
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені за таке висловлення, але Сократ дискутує як необачлива людина.	uk	1.0	1.0	1	1	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Ой, наші люди все фільтрують божими законами	uk	1.0	1.0	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, що відбувається навколо	uk	0.5	1.0	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	 'Боже, чому просто не можна зобов'язати всіх людей вчити англійську, які контактують з іноземцями?'	uk	1.0	1.0	1	1	1.0
69	В мене завтра свіданка блять.	У мене завтра планована зустріч.	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося чекати 15 хвилин ту особу.	uk	1.0	1.0	1	1	0.8333333333333334
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що мій стоматолог почув, що я їм багато.	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але все одно, і так весь час дома, а там щось цікаве.	uk	1.0	1.0	1	1	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочити, куплю собі смачненьке і буду насолоджуватися.	uk	0.5	1.0	1	1	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	Коли ти нормально коми ставитимеш? На твої твіти дивитись соромно.	uk	1.0	1.0	1	1	1.0
131	І що бля, це більшість жінок почувається — отак??	І що, це більшість жінок почувається — отак?	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми щось забули про дитину#НічІзКевіном	uk	0.5	0.5	1	1	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Будь ласка, не залучайте мене до вашої цукрової секти.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"На всякий випадок вивчи фразу ""дурень, куди йдеш?"" кількома мовами."	uk	1.0	1.0	1	1	1.0
146	і хтось це ябо я не пизджу чуже	і хтось може сказати, що я не копіюю чуже.	uk	1.0	1.0	1	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше справ встигає зробити.	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, треба лише секс і щоб неприємні люди зникли.	uk	1.0	1.0	1	1	1.0
158	 можеш послати мене нахуй, якшо хочеш.	якщо хочеш, можеш вислати мене геть.	uk	1.0	1.0	1	1	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	в мене на минулому тижні було замовлення, але відразу відмовився від нього.	uk	1.0	1.0	1	1	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Поки я відпочивала та купалася в морі, ви говорили про айфон.	uk	1.0	1.0	1	1	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити ще багато мов, але це складно.	uk	1.0	1.0	1	1	1.0
186	Хвала небесам, що мені похуй на укладку	Дякую небесам, що мені байдуже до укладки	uk	1.0	1.0	1	1	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	'Я дуже здивувалася і не можу забути, як видалити пам'ять'	uk	0.5	1.0	1	1	1.0
203	 блядь, жінко, там і тридцятник недалеко.	Ой, дорога жінко, там і тридцятник недалеко.	uk	1.0	1.0	1	1	1.0
207	Тому унилоє гавно залишається в КП, а я відправляюсь в путь.	Тому неприємна ситуація залишається в КП, а я вирушаю в подорож.	uk	1.0	1.0	1	0	1.0
214	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй	Гуманітарії і технарі часто конфліктують, але всі ми можемо знайти спільну мову і взаєморозуміння.	uk	1.0	1.0	1	0	1.0
215	Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять	Стало холодно, дівчат не стало, Пташки гавно перестали клекотати, Не зручно курити на балконі, чорт.	uk	1.0	1.0	1	1	0.8333333333333334
218	Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер хуй засне	Боже, як скучно, нормальна людина вже пішла б спати, але Віка спала півдня і тепер не може заснути.	uk	1.0	1.0	1	1	1.0
222	І рибку, і на хуй, та?	І рибку, і на хліб, так?	uk	1.0	1.0	1	0	1.0
231	Я знаю, дякуюЩе мудака забула...ну і послати мене нахуй	Я знаю, дякую за нагадування. Я забула...ну і можеш відправити мене геть.	uk	1.0	1.0	1	0	1.0
233	От вам моя експертна думка: ніхуя англійці не розуміють в революціях!	От вам моя експертна думка: англійці не дуже розуміють в революціях!	uk	1.0	1.0	1	1	1.0
236	"почуте днями біля екс-тудора: ""бог триєдиний, блядь"""	" почув днями біля екс-тудора: ""бог триєдиний, ого"""	uk	1.0	1.0	1	1	1.0
246	пиздуйте в вк ті дєла обговорювати	піди в вк та обговорюйте ці справи	uk	1.0	1.0	1	1	1.0
247	Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.	Це твоя хата, тому ти можеш привести хоч бомжа.	uk	1.0	1.0	1	1	1.0
249	На скільки справ ще не покладено хуй!	На скільки справ ще не приділено уваги!	uk	1.0	1.0	1	0	1.0
253	блять як сенс життя с:	як життя має сенс с:	uk	1.0	1.0	1	1	1.0
264	 предмет не важливий, тож похуй.	предмет не важливий, тому не має значення.	uk	1.0	1.0	1	1	1.0
265	Потягів без орущих піздюків не існує.	Потягів без орущих піздюків не існує.	uk	1.0	1.0	1	1	0.5
269	Блять, ви такі кумедні що пізда.	Ви такі кумедні, це просто смішно.	uk	1.0	1.0	1	1	1.0
272	Замовила, відправили....сукаааа чого ж в найкращих забирають життя...	Замовила, відправили....чому ж в найкращих забирають життя...	uk	1.0	1.0	1	1	1.0
275	Ні, не розумієте(Відсилка до хуйової реклами)	 Ні, не розумію(Відсилка до неприємної реклами)	uk	1.0	1.0	1	1	1.0
278	пиздуй спати, бо подзвоню в 5 і ніхуя ти ващж не виспишся	пішов спати, бо я тобі подзвоню в 5 і ти не виспишся.	uk	0.5	1.0	1	1	1.0
306	На хуй зранку краще заходить	На ранок краще заходить	uk	1.0	1.0	1	1	1.0
311	"Ната, ти пізда""Або просто бесіда з Натою і Владом."	"Ната, ти дуже крута""Або просто розмова з Натою і Владом."	uk	1.0	1.0	1	0	1.0
313	мене і так ніхто не трахне.	мене і так ніхто не зацікавить.	uk	1.0	1.0	1	0	1.0
317	Може кинути все нахуй і вступити на театральний?	Може я кину все і вступлю на театральний?	uk	1.0	1.0	1	1	1.0
319	Не зря, ой сука не зря зробив шенген на 5 років	Не дарма, я не дарма зробив шенген на 5 років	uk	1.0	1.0	1	1	1.0
