Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Que manera de fallar wacho 😩	es	1.0	1.0	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	bueno, también será porqué nada molesta más a un nacionalista que otro nacionalismo intente violar su integridad territorial.	es	1.0	1.0	1	1	1.0
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La cagada de siempre retroceder la pelota pasado ya el medio, que error crítico	es	0.5	1.0	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué pasa aquí?	es	1.0	1.0	1	1	0.8333333333333334
4847	dios podes hablar bien la concha de tu madre	dios podes hablar bien	es	1.0	1.0	1	1	1.0
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A HACER ALGO DEMÁS.	es	1.0	1.0	1	1	0.8333333333333334
4862	Hoy m pongo empedo o ke?💃🏼	Hoy m pongo energía o qué? 💃🏼	es	0.5	1.0	1	0	0.8333333333333334
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No!"""	es	1.0	1.0	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te podes mandar todas las cosas malas del mundo pero te voy a elegir a vos siempre	es	1.0	1.0	1	1	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM al Mr Wonderful	es	0.5	1.0	1	1	0.8333333333333334
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	no os da como rabia que gente tenga pareja y vosotros no?	es	1.0	0.5	0	0	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entienden la ironía y las bromas llevadas al extremo molan 0 hermanos	es	0.5	1.0	1	1	0.8333333333333334
4922	La Corte y nada la misma huevonada	La Corte y nada la misma situación	es	1.0	1.0	1	1	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	soy una persona que solo quiere ir a las cenas/comidas de Navidad para disfrutar y relajarse.	es	1.0	1.0	1	0	1.0
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	los más valientes, los mejores, los más preparados vienen a pagar nuestras pensiones	es	0.5	1.0	1	1	0.6666666666666666
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un figura controversial.	es	1.0	1.0	1	1	0.8333333333333334
4940	A nadie puta le importa quien carajos muere por un dragon.	A nadie le importa quién muere por un dragón.	es	1.0	1.0	1	1	1.0
4946	man soy r autoexigente q hincha pelotas	man soy r autoexigente que me enfoco en mis metas	es	0.5	1.0	1	0	1.0
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe tiene una personalidad fuerte y nadie le da la talla.	es	1.0	1.0	1	1	1.0
4954	Así luego entran en patera, dan otro nombre, y tienen otra paguita	Así luego entran en patera, dan otro nombre, y tienen otra oportunidad	es	1.0	1.0	1	1	0.8333333333333334
4958	Joder que partidazo de los Wolves en Anfield.	Joder que partido de los Wolves en Anfield.	es	1.0	1.0	1	1	0.3333333333333333
4966	Oye que mierdas le pasa a Alba en las galas :(((?!?!?!	Oye que malas cosas le pasan a Alba en las galas :(((?!?!?!	es	1.0	1.0	1	1	1.0
4976	Jajajajaja que gorda lechera hasta cuando con esos videos	Jajajajaja que divertida hasta cuando con esos videos	es	1.0	1.0	1	1	1.0
4983	Esto hace falta en Paraguay, no la cantaleta amariconada de DDHH de muchos políticos.	Esto hace falta en Paraguay, no la retórica de muchos políticos.	es	1.0	1.0	1	0	1.0
4986	Xq no me contestabas maldita	Xq no me contestabas	es	0.5	0.5	1	1	1.0
4988	Te acordas que existo pendejo de mierda 😡	Te acordas que existo 😡	es	1.0	1.0	1	1	1.0
5003	Por qué les tienen tanta bronca a los q fueron mantenidos y no los mandaron a laburar?	Por qué les tienen tanta bronca a los que no trabajaron?	es	1.0	1.0	1	1	0.5
5007	Nico a los 3 años se metió una pila y un PAN en la nariz, desde chiquito es pelotudo 🤣	Nico a los 3 años se metió una pila y un PAN en la nariz, desde chiquito es un niño curioso 🤣	es	1.0	1.0	1	1	1.0
5014	Huevones nefastos utilizados por la extrema izquierda anarquista	Huevones utilizados por la izquierda anarquista	es	1.0	1.0	1	1	0.8333333333333334
5015	Una noche me duró la serie, joder coño	Una noche me duró la serie, ¡eso fue un momento!	es	1.0	1.0	1	1	1.0
5018	EN SERIO ESTOS PEDAZOS DE MIERDAS PUEDEN SER LLAMADOS POLICÍAS CIVILES?	EN SERIO ESTOS INDIVIDUOS PUEDEN SER LLAMADOS POLICÍAS CIVILES?	es	1.0	1.0	1	1	1.0
5022	Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SAQUÉ A PASEAR PARÁ QUE CAGARA AFUERA!!!	Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SAQUÉ A PASEAR	es	1.0	1.0	1	1	1.0
5031	Tengo un problema serio si ya desde esta hora estoy hasta los cojones de la gente	Tengo un problema serio si ya desde esta hora estoy cansado de la gente	es	1.0	1.0	1	1	1.0
5033	Lo puto guapa que sale todo el rato??????	Lo guapa que sale todo el rato??????	es	1.0	1.0	1	1	1.0
5036	me tienen las pelotas re llenas todos	me tienen llenas de energía todos	es	1.0	1.0	1	0	1.0
5046	Joder que bueno, no voy a picar yo sólo 😉	Joder que bueno, no voy a hablar yo solo 😉	es	1.0	1.0	1	0	0.6666666666666666
5047	No sirven para un culo	No sirven para nada	es	1.0	1.0	1	1	1.0
5049	El espíritu de Plasencia siempre será una epopeya de liberación de tensión...Que putos nervios de tanda, pollo.	El espíritu de Plasencia siempre será una epopeya de liberación de tensión... ¡Qué nervios de tanda, pollo!	es	1.0	1.0	1	1	1.0
5053	Cuesta un huevo estar bien con alguien pero solo segundos para que todo se vuelva un caos.	Cuesta un esfuerzo estar bien con alguien pero solo segundos para que todo se vuelva un caos.	es	1.0	1.0	1	1	0.8333333333333334
5064	Las cortes corruptas y ahora también con abusos sexuales, de razón la justicia de este país esta vuelta MIERDA.	Las cortes corruptas y ahora también con abusos, de razón la justicia de este país está vuelta en crisis.	es	1.0	1.0	1	1	1.0
5065	pero callate — Pero que me dejes 👊	pero callate — Pero que me dejes	es	1.0	1.0	1	1	0.5
5069	¡Vallekanos yonkis y gitanos! Orgullosos de nuestro barrio, no lo podréis entender 💪	¡Vallekanos yonkis y gitanos! Orgullosos de nuestro barrio, no lo podréis comprender 💪	es	1.0	1.0	1	1	0.6666666666666666
5072	No sea imbécil la idea es salir con precaución  para reactivar la economía que lleva meses por culpa del COVID-19.	No sea imprudente la idea es salir con precaución para reactivar la economía que lleva meses afectada por el COVID-19.	es	1.0	1.0	1	1	1.0
5075	Ayer escrachamos al pelotudo del Mono Ramos y hoy al infeliz lo echaron.	Ayer escrachamos al Mono Ramos y hoy lo echaron.	es	0.5	1.0	1	1	1.0
5078	Entrar al metro es como bajar al infierno	Entrar al metro es como bajar a un lugar con mucha gente y ruido.	es	1.0	1.0	1	1	1.0
5106	No hay nadie de la oposición con los  cojones suficientes para hacer la denuncia..	No hay nadie de la oposición con la valentía suficiente para hacer la denuncia..	es	1.0	1.0	1	1	0.8333333333333334
5111	Grande comobsiempre y dejando como un culo a la izquierda.	Grande comobsiempre y dejando como un despedida a la izquierda.	es	0.5	1.0	1	0	1.0
5113	Uno para pasar los cólicoAY CHAO DE AQUÍ BOBA HIJUEPUTA.	Uno para pasar los cólicos.	es	0.5	1.0	1	1	1.0
5117	Me falta follar joder para hacer pleno :(	Me falta encontrar mi equilibrio para hacer pleno :(	es	1.0	1.0	1	0	1.0
5119	Que ninguna me mande nudes es otro pedo.	Que nadie me mande fotos es otro problema.	es	1.0	1.0	1	1	1.0
5123	Por un 2019 q me chupe todo un huevo, y que todo me duela menos🙏🏻	Por un 2019 que me afectó mucho, y que todo me duela menos.	es	0.5	1.0	1	1	1.0
5132	La verdad le duele a ese mequetrefe	La verdad le duele a él.	es	1.0	1.0	1	1	1.0
5148	Joder, todo muerto es bueno.	Todo muerto es bueno.	es	1.0	1.0	1	1	1.0
5163	Le pusiste sueldo de 50k a pateadores cualquiera con primas anuales hasta por si se tiraba un pedo.	Le ofrecen un sueldo de 50k a pateadores con primas anuales.	es	1.0	1.0	1	1	1.0
5172	Salí de ahí Martínez, es pasar vergüenza al pedo	Salí de ahí Martínez, es pasar vergüenza.	es	1.0	1.0	1	1	0.8333333333333334
5173	Luego coñazo absoluto lo q movera en torno a ella en redes sociales por ej.	Luego absoluto lo que moverá en torno a ella en redes sociales por ejemplo.	es	0.5	1.0	1	1	0.8333333333333334
5177	Que caro nos salió la maldita revolución chavomadurista!	Que caro nos salió la revolución!	es	1.0	1.0	1	1	0.8333333333333334
5179	Se ganan todo eso y muchos no hacen un culo allá.	Se ganan todo eso y muchos no hacen un esfuerzo allá.	es	1.0	1.0	1	1	0.8333333333333334
5180	Que se puede esperar de un burro más que una patada?	Que se puede esperar de un animal más que un comportamiento natural?	es	1.0	1.0	1	1	1.0
5185	Pero hay veces es las que no podes garchar pero eso si podes crack	Pero hay veces que no puedes ganar pero eso sí puedes aprender	es	1.0	1.0	1	1	0.8333333333333334
5199	Puede no ES un engaño, no podemos creer en este dictador comunista. CALLE hasta que se vayan	Puede no ES un engaño, no podemos creer en este líder.	es	1.0	1.0	1	1	0.8333333333333334
5200	Uff qué tan poco me banco a los hombres la concha de mi madre, con suerte me caerán bien 5	Uff qué tan poco me banco a los hombres la suerte me caerán bien	es	1.0	1.0	1	1	0.8333333333333334
5206	Que cagada es no sentirse cómodo en ningún lugar 😂	Que situación es no sentirse cómodo en ningún lugar 😂	es	1.0	1.0	1	1	0.8333333333333334
5208	Cállate bobo anda a teñirte bien el pelo	Cállate y anda a arreglarte bien el pelo	es	1.0	1.0	1	1	1.0
