Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	धर्म और सत्ता दोनों महत्वपूर्ण हैं, लेकिन उन्हें एक साथ न जोड़ें। सत्ता को धंधा बना दिया गया है।	hi	1	1	1	1	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह डरा हुआ है?	hi	1	1	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	कृपया सुधार जाएं, अन्यथा समस्या उत्पन्न हो सकती है।	hi	1	1	1	0	1.0
642	भौसडीके शायरी ग़लत हो गयी  	शायरी में गलती हो गई है।	hi	1	1	1	1	1.0
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे भड़वा, तुझे इमाम बोलने में शर्म आनी चाहिए, दलाल।	hi	1	1	1	1	0.5
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेसियों में टंच माल का सेवन करने की परंपरा है।	hi	1	1	1	1	0.8333333333333334
656	ओर ये साली सुअर सरकार सो रही है	और ये सरकार बिल्कुल निष्क्रिय है।	hi	1	1	1	1	1.0
662	सबसे ज्यादा कमीना तू है	तुम सबसे ज्यादा अच्छे नहीं हो	hi	1	1	1	1	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या हम इतनी नफरत करने वाले हैं जैसे पाकिस्तानी?	hi	1	1	1	0	1.0
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	यह लड़की रात भर नाचने के बाद बोली कि वह थक गई है।	hi	1	1	1	1	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहें आज भी ढूंढ रही हैं... उस महान व्यक्ति को	hi	1	1	1	1	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	सभी नेता नकली हैं, इन्हें सब नपुंसक समझना गलत है।	hi	1	1	1	0	0.6666666666666666
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	कृपया जेल भेजिए। यहाँ क्यों इतना रो रहे हैं?	hi	1	1	1	0	1.0
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	अरे ओ महबूबा, तुझे दुःख इसलिए हो रहा है क्योंकि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया है।	hi	1	1	1	1	1.0
