Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	 моет, он и ее в су ередаст?	ru	1.0	0.0	0	0	1.0
3630	от одной ебанашки избавились:d :d	от одно еанаки иавилис	ru	1.0	0.0	0	0	0.8333333333333334
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	рмо таки налдатели то вс роустили...к как идорам оравки не о нутру	ru	1.0	0.0	0	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	идорас родители,а сет дете адл т	ru	1.0	0.0	0	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто т така сука!!! и так врае не ватает твар вона	ru	1.0	0.0	0	0	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	деалн анонимус: иолиает, тралит, давит на олное и делает то со вкусом.  	ru	1.0	0.0	0	0	0.5
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	едн ренок, родители долае, как е ему с такими дале ит	ru	1.0	0.0	0	0	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	осмотрите неависимое расследование василево, а отом вску ерн иите.	ru	1.0	0.0	0	0	1.0
3669	вот кому руки то отрубить то надо	вот кому руки то отруит то надо	ru	1.0	0.5	0	1	0.8333333333333334
3680	это он, а не она , провокатор кастрюлеголовый	то он, а не она, ровокатор кастрлеолов	ru	1.0	0.0	0	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвн, идорас рилиив. ристан к свое ене, и ди.	ru	1.0	0.0	0	0	1.0
3692	сколько же ебанутых в россии в месте с тобой	сколко е еанут в россии в месте с тоо	ru	0.5	0.0	0	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	если некоторое врем дени не вноси_ урт	ru	0.5	0.0	0	0	0.8333333333333334
3722	долбоеба кусок, слов нет одни эмоции.	олоеа кусок, слов нет одни моии.	ru	1.0	0.0	0	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	ереди ла тое девока реенок они вместе воли в одед а аними уе тот улдо	ru	1.0	0.0	0	0	0.8333333333333334
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	 ко ерт тот ур нуен??? уета есолена!!!	ru	1.0	0.0	0	0	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	е и ивик воит ерестали, с инаее, и ле, мое лимое.	ru	0.5	0.0	0	0	0.6666666666666666
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	урка адвокат трактует ео о своему.лиит лиении идиота навседа.	ru	1.0	0.5	0	0	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	нон лука сколко ивораиватс уде никто уе не верит твое идеи омон 	ru	1.0	0.0	0	0	1.0
