Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Qué manera de cometer errores, amigo 😩👎🏼	es	1.0	1.0	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	bueno, también será porque nada molesta más a un ultranacionalista que otro nacionalismo intentando violar su integridad territorial.	es	1.0	1.0	1	1	1.0
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La jugada de siempre retroceder la pelota pasado ya el medio, qué error.	es	0.5	1.0	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué está pasando aquí?	es	1.0	1.0	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	Dios, por favor habla correctamente	es	1.0	1.0	1	1	1.0
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	Era para que fueras a comprar mandarinas en Jonathan, no a cantar con la Cazzu.	es	1.0	1.0	1	1	0.5
4862	Hoy m pongo empedo o ke?💃🏼	Hoy me emborracho o qué? 💃🏼	es	0.5	1.0	1	1	0.8333333333333334
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No, amigo"""	es	1.0	1.0	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Puedes cometer errores, pero siempre te elegiré a ti.	es	1.0	1.0	1	1	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen a Mr Wonderful como Community Manager	es	0.5	1.0	1	1	0.8333333333333334
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	No os molesta que gente desagradable tenga pareja y vosotros no?	es	1.0	1.0	1	1	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	Los que no entienden la ironía y las bromas exageradas no son geniales	es	0.5	1.0	1	1	0.8333333333333334
4922	La Corte y nada la misma huevonada	La Corte y nada es lo mismo	es	1.0	1.0	1	1	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	Soy una persona que disfruta de las cenas y comidas de Navidad para disfrutar de la comida.	es	1.0	1.0	1	1	1.0
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	Los más valientes, los mejores, los más preparados vienen a pagarnos las pensiones con determinación.	es	0.5	1.0	1	1	0.6666666666666666
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy en día, la ley de memoria histórica considera a esta víctima del Frente Popular como un golpista.	es	1.0	1.0	1	1	0.5
4940	A nadie puta le importa quien carajos muere por un dragon.	A nadie le importa quién muere por un dragón.	es	1.0	1.0	1	1	1.0
4946	man soy r autoexigente q hincha pelotas	Soy muy exigente conmigo mismo, qué molesto.	es	0.5	1.0	1	1	1.0
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe tiene mucha determinación y nadie le iguala.	es	1.0	1.0	1	1	1.0
