Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Козлина! Может, он их еще в сбу передаст?	ru	1.0	1.0	1	1	0.3333333333333333
3630	от одной ебанашки избавились:d :d	Избавились от одной неудачи:d :d	ru	1.0	1.0	1	0	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Ага, прямо так наблюдатели это всё пропустили... Эк как пидорам поправки не по нутру.	ru	1.0	1.0	1	1	0.6666666666666666
3642	пидорасы родители ,за счет детей падля пьют	Родители, за счет детей, пьют наркотики	ru	1.0	1.0	1	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	Да, кто ты такая? И так врачей не хватает, тварь вонючая.	ru	1.0	1.0	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный аноним: раскрывает, высмеивает, поддерживает и делает это с умом. У пидорах нехило подгорает, планируется, лалки.	ru	1.0	1.0	1	0	0.5
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	Пожалуйста, дайте мне токсичную фразу, чтобы я мог перефразировать ее.	ru	1.0	1.0	1	0	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Просмотрите независимое расследование Васильевой, а потом всякую херню пишите.	ru	1.0	1.0	1	1	0.5
3669	вот кому руки то отрубить то надо	Вот кому руки то отрубить то надо	ru	1.0	1.0	1	1	0.5
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она, провокатор с круглым лицом	ru	1.0	1.0	1	0	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	Отвянь, прилипчивый пидорас. Пристань к своей жене и жди.	ru	1.0	1.0	1	1	0.6666666666666666
3692	сколько же ебанутых в россии в месте с тобой	сколько же людей в России в месте с вами	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Если некоторое время деньги не вносишь, то вы можете столкнуться с финансовыми трудностями.	ru	0.5	1.0	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	Долбоеба, нет слов, только эмоции.	ru	1.0	1.0	1	0	0.3333333333333333
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	Впереди шла и девочка, ребенок, они вместе вошли в подъезд, а за ними уже этот ублюдок зашел.	ru	1.0	1.0	1	1	0.8333333333333334
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	На кого этот упырь нужен? Бесполезная хуета.	ru	1.0	1.0	1	1	0.6666666666666666
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, с эхинацеей, и Биле, мое любимое.	ru	0.5	1.0	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	Адвокат трактует его по своему. Лишить лицензию идиота навсегда.	ru	1.0	1.0	1	0	0.6666666666666666
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Пожалуйста, переделайте эту фразу так, чтобы она не была токсичной.	ru	1.0	1.0	1	0	1.0
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	Дай бог, если этому незнакомцу это будет урок-не срать соседа.	ru	1.0	1.0	1	0	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	Не хуй выебывайца, дура, пусть благодарит бога что ноги низажула	ru	0.5	0.5	1	1	0.5
3758	потому что жизнь долбоёбов ничему не учит	Потому что жизнь не учит ничего	ru	1.0	1.0	1	0	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	Вы задали вопрос, что плохо написано о мусульманах?	ru	1.0	1.0	1	0	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские животные распространятся по всем континентам!	ru	1.0	1.0	1	0	1.0
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	А щас эти люди забрали то, что наши деды строили. И снашают нас этим.	ru	0.5	1.0	1	1	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	Неясно, куда идет Россия, и почти все проданы, твари........	ru	0.5	1.0	1	0	0.8333333333333334
3788	дело даже не в iq - просто хуесосам там не место	Дело не в IQ - просто нет места для таких людей.	ru	1.0	1.0	1	0	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	Пожалуйста, не нападайте на животных, которые не могут защищаться.	ru	1.0	1.0	1	0	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	Если вы думаете, что это фотошоп, я стану хуже, то ты точно лох.	ru	1.0	1.0	1	0	0.6666666666666666
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	Нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	ru	1.0	1.0	1	1	0.5
3815	как же я люблю свою родину!!! ибать её конём!!!	Как же я люблю свою родину!!! Дай бог, чтоб она процветала!!!	ru	1.0	1.0	1	0	1.0
3818	жопу как раз ты свою рвешь	Жопу, как раз, ты свою рвешь	ru	1.0	1.0	1	1	0.5
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	Согласен. Уважение к Карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	ru	1.0	1.0	1	1	0.6666666666666666
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	Подготовьтесь к санкциям. Не проецируйте. Разрыв контракта не будет, русский, платит - значит заебись.	ru	1.0	1.0	1	1	0.8333333333333334
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	Вы бы ещё сделали узнайте актера по жопе! Вы совсем не поняли.	ru	1.0	1.0	1	1	0.8333333333333334
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	Ельцин, который развалил страну, должен сгореть в аду.	ru	1.0	1.0	1	1	1.0
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	Умные люди учится на чужих ошибках, а долбоебы на своих.	ru	1.0	1.0	1	0	0.8333333333333334
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	Человек, который надоел, когда посадят за решетку. Человек всегда.	ru	1.0	1.0	1	0	0.8333333333333334
3849	мало их в войсках чмырили и пиздили.	Мало их в войсках служили и трудились.	ru	1.0	1.0	1	0	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	Если мы сами этим не откажемся, то так и будет.	ru	0.5	1.0	1	0	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	Значит, у этого дяди есть что терять? Наворовал со школы у детишек. Ублюдок	ru	1.0	1.0	1	1	0.5
3865	ну может тебя вместо лукашенко, пиз бол?!	Может быть, ты вместо Лукашенко, пиз бол?!	ru	1.0	0.5	0	1	0.5
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	Для тех, кто хочет защититься, пусть скафандры покупают.	ru	1.0	1.0	1	0	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	Я помню, как прибыл в эту часть в 2005 году, а потом 4 бат.	ru	1.0	1.0	1	0	1.0
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	Бабло надо отрабатывать... А судья миллионов белорусов этих тварей-упырей не интересует уют.	ru	1.0	1.0	1	0	0.5
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Всей толпой в церковь и свечки за его здравие.	ru	1.0	1.0	1	0	1.0
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Среди умных людей - безусловно. Но стреляют то в основном неумелые.	ru	1.0	1.0	1	0	1.0
3911	вот если бы обрубал руки своим подчененым за воровство, цены бы ему не было	Если бы он отрезал руки своим подчиненным за кражу, цены бы ему не было.	ru	1.0	1.0	1	1	0.5
3913	пи-доры придёт время отвечать придётся перед народом	Время отвечать придётся перед народом.	ru	1.0	1.0	1	0	1.0
3917	так ты просто обманываешь гаденыш людей	Вы просто обманываете людей.	ru	1.0	1.0	1	1	1.0
3919	урода посадить без суда и следствия. алкаш	Человеку следует наказать без суда и следствия. Алкаш.	ru	1.0	1.0	1	1	1.0
3923	русня снимает видосики и бугуртит. Русский бунт. Рашковане as is.	Русня снимает видеоролики и делится. Русский бунт. Рашкование как есть.	ru	0.5	1.0	1	1	0.6666666666666666
3932	ебал я всех в рот кто тут старается себя превознести. непути знайте это флаг казахстана.	Я стараюсь себя превознести. Не пути знайте это флаг Казахстана.	ru	0.5	1.0	1	0	1.0
3948	у кого нибудь есть домашний адрес этого дебила? опубликуйте...	Можете ли вы предоставить домашний адрес этого человека? Опубликуйте...	ru	1.0	1.0	1	1	1.0
3963	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о пидорасах и предателях по всем программам	О рабочих профессиях надо фильмы снимать и везде агитировать, а не о предателях и предателях по всем программам.	ru	1.0	1.0	1	1	0.6666666666666666
3972	а вот при нынешнеем образовании молодежь тупая.	А вот при нынешнем образовании молодежь не очень умная.	ru	1.0	1.0	1	1	1.0
3973	откуда у алкашей-свиней оружие? ведь даже не рабам спидоранам оружие не дают :(	Откуда у алкашей-свиней оружие? Ведь даже не рабам спидоранам оружие не дают :(	ru	1.0	1.0	1	1	0.5
3977	С квадратиками на морде тяжело жить.	С квадратиками на морде жить непросто.	ru	1.0	1.0	1	1	0.5
3979	а вы упрямые бараны, не хочу, не буду	Не хочешь, не будешь	ru	1.0	1.0	1	0	1.0
3980	И от такой хуйни можно много до чего договориться	И от такого диалога можно договориться много.	ru	1.0	1.0	1	0	1.0
3985	говорит--моя бл..ь(жена)предложила прогуляться к метро, посмотреть	Жена предложила прогуляться к метро, посмотреть.	ru	1.0	1.0	1	0	1.0
3999	тебя там чпокнули, что ты такое утверждаешь?	Что вы утверждаете?	ru	1.0	1.0	1	0	1.0
4000	К тому же вальва уже давно не геймдевелоперская контора, а занимается хуй знает чем	К тому же, вальва уже давно не занимается разработкой игр, а занимается чем-то еще	ru	1.0	1.0	1	1	1.0
4006	эта сраная фишка в западных околонаучных передачах так же часто встречается	Эта забавная особенность в западных научных передачах также часто встречается	ru	1.0	1.0	1	1	0.8333333333333334
4008	которые всегда и во во всем видят только дерьмо	Всегда видят только то, что хорошее.	ru	1.0	1.0	1	0	1.0
4011	из-за вас козлов- настроение ноль и поведение ,ну никакое.....	Из-за вас козлов- настроение ноль и поведение, никакое.....	ru	1.0	1.0	1	1	0.5
