Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	के धर्म है तो अच्छा है! मेरा मतलब धर्म है तो सत्य है!! सत्य ही अच्छा बना दिया है!!!	hi	1	1.0	1	0	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह डरा हुｱ है?	hi	1	1.0	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	सुधा र जाओ नहीं तो जलजला आएगा ठीक है।	hi	1	1.0	1	0	1.0
642	भौसडीके शायरी ग़लत हो गयी  	शायरी गलत हो गयी	hi	1	1.0	1	1	1.0
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे तुझे इमाम बोलने में शर्म आता है चापलूस	hi	1	1.0	1	1	1.0
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग््रेसियों में टीचिंग के संस्कार की परम्परा है. टीचर्स 	hi	1	0.5	0	1	0.6666666666666666
656	ओर ये साली सुअर सरकार सो रही है	और ये सरकार सो रही है	hi	1	1.0	1	1	1.0
662	सबसे ज्यादा कमीना तू है	सभे ज्यादा बुरा आदमी तू है	hi	1	1.0	1	0	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या हम पाकिस्तानी है जो इतनी नाराजगी करते हो	hi	1	1.0	1	1	1.0
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	ईस बेकार ने रात भर नाचकर बोला कि मैं थक गई ..	hi	1	1.0	1	1	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहे आज भी ढुंढ रही है... उस महान को	hi	1	1.0	1	1	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	सभी लोग अच्छे हैं, ये सरकारें ने सभी अच्छे हैं	hi	1	1.0	1	0	1.0
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	तो जेल भेजो ना。 यहाँ क्या तमाशा कर रहे हो?	hi	1	1.0	1	1	1.0
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	महबूबा तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	hi	1	1.0	1	1	1.0
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	अपना नाam रख ले ज़्यादा अच्छा लगेगा.	hi	1	0.5	0	0	1.0
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	ने गुयरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नौकरी छीन ली	hi	1	1.0	1	0	1.0
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	ले कि यह भी साफ है कि धोनी कोहली से बेहतर है	hi	1	1.0	1	0	0.6666666666666666
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	धमकी किसे दे रहा है बे. बुरे आदमी की औलाद.	hi	1	1.0	1	1	1.0
746	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	इन लोगों को कोई बताओ कितने अकाउंट हैं	hi	1	1.0	1	1	1.0
749	कमीने, दुश्मन से गले मिल गये?	दुश्मन से गले मिल गए?	hi	1	1.0	1	1	1.0
754	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	धोनी के लाاس्ट बाल पे अच्छा खेलते हीं || देखो सालों उसे	hi	1	0.5	0	0	0.8333333333333334
758	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	एक जो सोचना जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	hi	1	1.0	1	0	1.0
766	भोसडीके थोड़ा सा तो शर्म कर	थोड़ा सा तो शर्म कर	hi	1	1.0	1	1	1.0
776	अबे कटे लंड के औलाद, रंडी  सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	अबे कटे के औलाद, सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	hi	1	1.0	1	1	0.8333333333333334
783	भैनचोद आत्महत्या की तैयारी कर रहा है ?	आत्महत्या की तैयारी कर रहा है?	hi	1	1.0	1	0	1.0
786	भेनचोद झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	झोपड़ियाँ वालो को IPhone और विमान की टिकेट कौन देता है |	hi	1	1.0	1	1	1.0
788	भोसड़ीके अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	अपनी टीम को खेलना नहीं आता और हमें अच्छा ज्ञान दे रहा है।	hi	1	1.0	1	1	1.0
803	दलाल मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	पक्षपात मीडिया पालतू कु त्तो की तरह भोंकना स्टार्ट कर देती है?	hi	1	1.0	1	0	1.0
807	भडवे सूअर कभी तो गलत का विरोध करा करो 	भडवे कभी तो गलत का विरोธ करा करो	hi	1	0.5	0	1	0.8333333333333334
814	मोदी क्या तेरा फूफा है भेनचोद ?	मोदी क्या तेरा फूफा है?	hi	1	1.0	1	1	1.0
