Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Que manera de pensar 😩👎🏼	es	1.0	1.0	1	0	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	bueno, también será muy ño a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	es	1.0	1.0	1	0	0.6666666666666666
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La de de siempre retrocer la pelota , ya el medio, que no crj	es	0.5	1.0	1	0	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi corta vida me va a 	es	1.0	1.0	1	0	1.0
4844	Bueno nojoda que pasa aqui pues?	 que está aqui 	es	1.0	1.0	1	0	0.8333333333333334
4847	dios podes hablar bien la concha de tu madre	dios te hablar bien la voz de tu madre	es	1.0	1.0	1	0	0.8333333333333334
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	es	1.0	1.0	1	1	0.5
4862	Hoy m pongo empedo o ke?💃🏼	Hoy m a o ke?💃🏼	es	0.5	0.5	1	0	0.6666666666666666
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No "	es	1.0	1.0	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te quiero mandar todas las fotos del corazón te voy a elegir a vos siempre	es	1.0	1.0	1	0	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM al personaje de Mr Wonderful	es	0.5	1.0	1	1	0.6666666666666666
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	 os da como de rabia que gente busca pareja y vosotros no?	es	1.0	1.0	1	0	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entendéis la ironía y las situaciones llevadas al extremo moláis 0 hermanu	es	0.5	0.5	1	1	0.6666666666666666
4922	La Corte y nada la misma huevonada	La Corte y de la misma 	es	1.0	1.0	1	0	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	oy una persona gorda y solo quiero ir a las cenas/comidas de Navidad , y engordar 14kg	es	1.0	1.0	1	1	1.0
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	los mas valientes, los mejores, los mas preparados , a tomar las armas daga en 	es	0.5	1.0	1	0	0.5
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un 	es	1.0	1.0	1	0	0.6666666666666666
4940	A nadie puta le importa quien carajos muere por un dragon.	A nadie no le importa si muere por un dragon.	es	1.0	1.0	1	0	1.0
4946	man soy r autoexigente q hincha pelotas	 soy r autoexigente q hincha pelot	es	0.5	0.5	1	1	0.6666666666666666
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe tiene pies de plomo y nadie le da la talla.	es	1.0	1.0	1	1	0.8333333333333334
4954	Así luego entran en patera, dan otro nombre, y tienen otra paguita	Así luego entran en patera, dan otro nombre, y tienen otra 	es	1.0	1.0	1	0	0.6666666666666666
