Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem	de	1.0	1.0	1	1	1.0
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde dieses etwas nicht zwangsverheiratet...?	de	1.0	1.0	1	1	0.3333333333333333
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht!! Was hat eine aus der Ziegenrasse in Deutschland,im Besondere	de	0.5	1.0	1	1	1.0
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	diese Person Göhring-Eckhardt kann zurück in ihre Heimat, der ⚠ #DDR	de	0.5	1.0	1	1	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier ist ja mal wieder ein richtiger AfD-Anhänger am kommentieren. Politisch	de	0.5	1.0	1	1	0.8333333333333334
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona & wo bleiben jetzt die #MSM-Artikel gegen Politiker, die NICHT den	de	0.5	1.0	1	1	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - sovi	de	1.0	1.0	1	1	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	wo ist der Ober-Ableite?	de	1.0	1.0	1	1	1.0
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in	de	1.0	1.0	1	1	0.8333333333333334
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	ja man deine Nase 😅 viel glück bei den Frauen 👍	de	1.0	1.0	1	1	0.8333333333333334
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	#Charlottesville Wieso das #Establishment &amp; sein #MSM-	de	0.5	0.5	1	1	1.0
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	OMG.....was für eine häßliche Frau..dieses Gesicht nur auf dem Boden	de	1.0	1.0	1	1	1.0
2502	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.	Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blas	de	1.0	1.0	1	0	1.0
2522	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr auch	de	1.0	1.0	1	1	1.0
2531	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 1	de	0.5	1.0	1	1	1.0
2533	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben,	de	1.0	1.0	1	1	0.3333333333333333
2536	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten.Babel"" Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜"	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten."	de	1.0	0.5	0	1	1.0
2540	Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎	Solche Moderatoren gibt es in D gleich mehrere! 😛🖕👎	de	1.0	1.0	1	1	1.0
2546	Das zeigt doch wieder einmal welche Vollspacken uns regieren! Hauptsächlich Hohlköpfe. 😂😂😂👎🖕	Das zeigt doch wieder einmal welche Leute uns regieren! Hauptsächlich Unproduktive. 	de	1.0	1.0	1	1	1.0
2549	Danach fragt doch niemand, auch nicht, wenn Fettbacke behauptet, die Türken hätten Deutschland wiederaufgebaut.	Danach fragt doch niemand, auch nicht, wenn Merkel behauptet, die Türken hätten Deutschland wiederauf	de	1.0	1.0	1	1	1.0
2554	..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..	..wurdest Du Du nicht mit Rede.-und Schreibverbot belegt..	de	1.0	1.0	1	0	1.0
2558	Merkel und ihre devoten Schleimer und Kriecher haben es geschafft!Ein Sklavenstaat!	Merkel und ihre devoten Anhänger haben es geschafft!Ein Sklavenstaat!	de	1.0	1.0	1	1	1.0
2566	wozu brauchen wir überhaupt noch teure #Politiker wenn die Politik austauschbar ist und uns insgesamt allen doch nur bescheißen	wozu brauchen wir überhaupt noch teure #Politiker wenn die Politik austauschbar ist und	de	1.0	1.0	1	1	0.8333333333333334
2576	Seehofer ist eine bayrische Oberpfeife....er hatte nur kurz seine Momente wurde aber schleunigst zurechtgestutzt...😃. Als Beweis dafür trägt er sein Haar jetzt auch kürzer ....😃	Seehofer ist eine bayrische Politikerin....er hatte nur kurz seine Momente wurde aber	de	1.0	1.0	1	1	1.0
2583	glauben sie mir , die meisten die hier ihre hass Kommentare abgeben sind hartz4 Schmarotzer :) habe so meine Erfahrung mit euch daitchen Dummschwätzer	glauben sie mir, die meisten die hier ihre hass Kommentare abgeben sind hartz4	de	0.5	1.0	1	0	1.0
2586	Gabriel, Du armseliges Würstel, was bist Du für ein hinterhältiger. Geselle. Versuche nicht, Frau Dr. Merkel anzupissen. Geh scheißen.	Gabriel, was bist Du für ein hinterhältiger. Mensch. Versuche nicht, Frau Dr	de	1.0	1.0	1	0	1.0
2588	Das Auswärtige Amt scheisst auf die Menschenwürde und auf Art.6 GG !!! Übrigens geführt von der SPD !!!	Das Auswärtige Amt ist die Menschenwürde egal und auf Art.6 GG!!!	de	1.0	1.0	1	1	0.6666666666666666
2603	Auswahl wohl eher Dschungelcamp Niveau...D Promis😂😂. Maybrit ist schon eine treue Polittusse...alle so richtige Zuchtstuten bei ARD-ZDF...!	Auswahl wohl eher Dschungelcamp Niveau...D Promis😂😂. Maybrit ist schon eine	de	1.0	1.0	1	1	1.0
2607	Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.	Genau. Die Fressfeindlichen haben nichts gelernt! Ihr Untergang ist selbstverschuldet	de	1.0	1.0	1	1	1.0
2614	Hetze der öffentlich- rechtlichen gegen Trump, zum kotzen diese verlogenen Vasallen Merkels!!!	Die öffentliche- rechtlichen gegen Trump, schlimm diese Anhänger Merkels!!!	de	1.0	1.0	1	0	1.0
2615	"Schießt doch die Raketen von Kim ab und ""prostituiert"" nicht. ständig, Ihr Maulaufreißer. Handelt endlich mal."	"Schießt doch die Raketen von Kim ab und ""prostituiert"" nicht. ständig,"	de	1.0	1.0	1	1	1.0
2618	Gut gemacht Mr. Präsident! Die dumme Nudel mal wieder richtig vorgeführt!😂😂👍	Gut gemacht Mr. Präsident! Die Frau mal wieder richtig vorgeführt!😂😂👍	de	1.0	1.0	1	1	1.0
2622	Die Kanackenweiber sind die schlimmsten....	Die Frauen sind die schlimmsten....	de	1.0	1.0	1	1	0.8333333333333334
2631	Ja dieses fette Etwas....redet und redet	Ja dieses Etwas....redet und redet	de	1.0	1.0	1	1	1.0
2633	seit ihr so naiv, oder tut ihr nur so dumm?????? 🎩🌹	seit ihr so naiv, oder tut ihr nur so naiv?????? 🎩🌹	de	1.0	1.0	1	1	1.0
2636	Hey Leute, wir haben so lange die Warzentusse ertragen...das mit dem Kleinwüchsigem kriegen wir auch hin...	Hey Leute, wir haben so lange die Warzentusse ertragen...das mit dem Kleinw	de	1.0	1.0	1	1	0.6666666666666666
2646	Am besten zum Bau eines Gefängnisses für Asylanten-Verbrecher!	Am besten zum Bau eines Gefängnisses für Asylbewerber!	de	1.0	1.0	1	1	0.6666666666666666
2647	Damit die USA ihr dreckiges Fracking Gas mit Schweröl betriebenen Frachtern nach Dummland verkaufen ! Wer hätte nun die Vorteile ? Herr schick Hirn !!!	Damit die USA ihr Fracking Gas mit Schweröl betriebenen Frachtern nach Deutschland verkaufen! Wer	de	1.0	1.0	1	1	0.8333333333333334
2649	Unterschlagung-Presse!Warum müsse wir diesen öffentlich rechtlichen Vollpfosten-Sender Zwangsabgaben zahlen.Freiheit in der Senderwahl!!!!!!!‘	Unterschlagung-Presse!Warum müsse wir diesen öffentlich rechtlichen Sender Zwangsabgaben	de	1.0	1.0	1	1	0.5
2653	Alle diejenigen die nicht politisch korrekt sind, sind Verbrecher. So sehen das heutzutage Medien, Politiker, Toleranz Fanatiker sowie bahnhofsklatscher. Verblödetes Deutschland.	Alle diejenigen die nicht politisch korrekt sind, sind Verbrecher. So sehen das heutzutage Medien	de	1.0	1.0	1	1	1.0
2664	Für den zensierten Scheiss auch noch mehr bezahlen? So eine Unverschämtheit.Freie Senderwahl ich bezahl nur die Sender die ich sehen will.	Für den zensierten Kram auch noch mehr bezahlen? So eine Unverschämtheit.Frei	de	1.0	1.0	1	1	1.0
2665	Schwachköpfe lassen keine Gelegenheit aus, um sich in die Öffentlichkeit zu drängen. 0 zw. den Ohren😜	Lassen keine Gelegenheit aus, um sich in die Öffentlichkeit zu drängen. 0 zw. den	de	0.5	1.0	1	0	1.0
2669	"Solange Stasi-Merkel geduldet wird, wird in ganz Deutschland NIE etwas ""klappen""!"	"Solange Merkel geduldet wird, wird in ganz Deutschland NIE etwas ""klappen""!"	de	1.0	1.0	1	1	0.8333333333333334
2672	Freue mich wenn solche Abschaum von Grünen Idioten im Herbst verschwinde!	Freue mich wenn solche Leute von Grünen im Herbst verschwinde!	de	1.0	1.0	1	1	1.0
2675	Also auch alle AFDler und Neonazis und Mörder und Pädophile und....was für eine dumme Aussage dieser Frau	Also auch alle AFDler und Neonazis und Mörder und Pädophile und	de	1.0	1.0	1	1	1.0
2678	Das geschieht wenn Aussagen gemacht werden die Merkel nicht passen!! ARD,ZDF und wie sie heißen sind Vasallen Merkels!!	Das geschieht wenn Aussagen gemacht werden die Merkel nicht passen!! ARD,ZDF und wie sie	de	1.0	1.0	1	1	1.0
2706	Dieses heuchlerische Weib ! Angela Merkel ist für mich die personifizierte Straftat ! Aber Islamkritiker gehen in den Knast !	Dieses Frau! Angela Merkel ist für mich die personifizierte Straftat! Aber Islamkritiker	de	1.0	1.0	1	1	0.6666666666666666
