Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	Якщо трішки скребти тих, хто підривають людей в Європі, обов'язково вилізе сутність.	uk	1.0	1.0	1	0	1.0
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться бухати, читати й писати.	uk	1.0	1.0	1	0	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, не хочу згадувати.	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво	uk	0.5	1.0	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	uk	1.0	1.0	1	1	0.5
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди все фільтрують своїми законами	uk	1.0	1.0	1	0	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, що відбувається навколо	uk	0.5	1.0	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1.0	1	1	0.5
69	В мене завтра свіданка блять.	В мене завтра свиданка.	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати на неї.	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я багато.	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але весь час дома, а там щось цікаве.	uk	1.0	1.0	1	1	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі щось смачне і буде приємно.	uk	0.5	1.0	1	1	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	Коли ти нормально коментувати будєш, на твої твіти дивитись.	uk	1.0	1.0	1	0	1.0
131	І що бля, це більшість жінок почувається — отак??	І що, це більшість жінок почувається так?	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	Ми про щось забули про дитину, нічого з Кевіном.	uk	0.5	1.0	1	0	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Не затягнете мене в свою секту.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"'У будь-якому випадку вивчі фразу ""куди преш?"" кількома мовами.'"	uk	1.0	1.0	1	1	1.0
146	і хтось це ябо я не пизджу чуже	І хтоось це я, я не знаю чуже.	uk	1.0	0.5	0	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше успіху досягне.	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре.	uk	1.0	1.0	1	0	1.0
158	 можеш послати мене нахуй, якшо хочеш.	можеш послати мені, якщо хочеш.	uk	1.0	1.0	1	0	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	В мне на минулому тижні було замовлення, одразу послав.	uk	1.0	1.0	1	1	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Я спала, і ви розмовляли про айфон.	uk	1.0	1.0	1	0	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я muốn вивчити ще багато мов.	uk	1.0	0.0	0	0	1.0
186	Хвала небесам, що мені похуй на укладку	Хвала небесам, що мені пощасть з укладкою	uk	1.0	1.0	1	0	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	Я ахувала і не забула Як видалити пам'ять	uk	0.5	0.5	1	1	0.8333333333333334
203	 блядь, жінко, там і тридцятник недалеко.	жінко, там і тридцятник недалеко.	uk	1.0	1.0	1	1	1.0
