Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	"Output:	मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!"	hi	1	1	1	1	1.0
1830	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	"Output:	वो कौन थे जो कह रहे थे कि वह डरा हुआ है?"	hi	1	1	1	1	1.0
1834	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	Output: सुधार जाओ नहीं तो जलजला आएगा ठीक है	hi	1	1	1	1	1.0
1842	भौसडीके शायरी ग़लत हो गयी  	Output: शायरी ग़लत हो गयी	hi	1	1	1	1	1.0
1844	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	Output: अरे तुझे इमाम बोलने में शर्म आता है दलाल	hi	1	1	1	1	1.0
1847	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	Output: आज भी कांग्रेसियों मे सेवन की परम्परा है.	hi	1	1	1	1	1.0
1856	ओर ये साली सुअर सरकार सो रही है	Output: ओर ये सरकार सो रही है	hi	1	1	1	1	1.0
1862	सबसे ज्यादा कमीना तू है	Output: सबसे ज्यादा तू है	hi	1	1	1	1	1.0
1869	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	"Output:	क्या हम पाकिस्तानी है जो इतनी नफरत करते हो"	hi	1	1	1	1	0.8333333333333334
1880	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	Output: ईस ने रात भर नाचकर बोला कि मैं थक गई ..	hi	1	1	1	1	1.0
1891	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	Output: निगाहे  आज भी ढुंढ रही है...    उस महान  को	hi	1	1	1	1	1.0
1892	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	Output: सब नपुंसक ह, ये सरकारें नेता सब नक़ली ह	hi	1	1	1	1	0.8333333333333334
1902	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	Output: तो जेल भेजो ना। यहाँ क्या रोना रो रहे हो?	hi	1	1	1	1	1.0
1922	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	Output: अरे ओ महबूबा तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	hi	1	1	1	1	1.0
1931	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	Output: अपना नाम रख ले ज़्यादा अच्छा लगेगा.	hi	1	1	1	1	1.0
1933	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	"Output:	ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली"	hi	1	1	1	1	1.0
1936	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	Output: लेकिन यह भी साफ है कि धोनी कोहली से बेहतर है	hi	1	1	1	1	1.0
1940	धमकी किसे दे रहा है बे. सूअर की औलाद.	"Output:	धमकी किसे दे रहा है बे."	hi	1	1	1	1	0.8333333333333334
1946	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	"Output:	इन वालों को कोई बताओ कितने अकाउंट हैं"	hi	1	1	1	1	1.0
1949	कमीने, दुश्मन से गले मिल गये?	"Output:	दुश्मन से गले मिल गये?"	hi	1	1	1	1	0.8333333333333334
1954	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	"Output:	धोनी के लास्ट बाल पे सिक्स मारते ही  चिल्ला रहे थे || देखो सालों को"	hi	1	1	1	1	1.0
1958	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	"Output:	ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा"	hi	1	1	1	1	1.0
1966	भोसडीके थोड़ा सा तो शर्म कर	"Output:	थोड़ा सा तो शर्म कर"	hi	1	1	1	1	1.0
1976	अबे कटे लंड के औलाद, रंडी  सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	Output: अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	hi	1	1	1	1	1.0
1983	भैनचोद आत्महत्या की तैयारी कर रहा है ?	Output: आत्महत्या की तैयारी कर रहा है ?	hi	1	1	1	1	1.0
1986	भेनचोद झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	Output: झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	hi	1	1	1	1	1.0
1988	भोसड़ीके अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	Output: अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	hi	1	1	1	1	1.0
2003	दलाल मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	Output: मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	hi	1	1	1	1	1.0
2007	भडवे सूअर कभी तो गलत का विरोध करा करो 	Output: कभी तो गलत का विरोध करा करो	hi	1	1	1	1	1.0
2014	मोदी क्या तेरा फूफा है भेनचोद ?	"Output:	मोदी क्या तेरा है ?"	hi	1	1	1	0	1.0
2015	गुजरात के ग़द्दार निष्काशित क़ातिल IPS संजीव भट्ट को उम्र केद...!!	"Output:	गुजरात के निष्काशित IPS संजीव भट्ट को उम्र केद...!!"	hi	1	1	1	1	0.8333333333333334
2018	अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर सुअर के लिये गाली लिखते है |	Output: अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर बेकार लोगों के लिये गाली लिखते है |	hi	1	1	1	1	0.8333333333333334
2022	अब वो कटु भड़वा सुअर ओवेसी कहाँ चला गया।	Output: अब वो कटु ओवेसी कहाँ चला गया।	hi	1	1	1	1	1.0
2031	भोसडीके अगली बार CD बना तो लाइटिंग अच्छी लगाना !	Output: अगली बार CD बना तो लाइटिंग अच्छी लगाना !	hi	1	1	1	1	1.0
2033	भेनचोद इंग्लिश फैन्स सिर्फ ताली मारने को बैठै रहते हैं।	Output: इंग्लिश फैन्स सिर्फ ताली मारने को बैठै रहते हैं।	hi	1	1	1	1	1.0
2036	भोसडीके अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है	Output: अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है	hi	1	1	1	1	1.0
2046	नहीं खा रहा है तो मरने दो भेनचोद को..	"Output:	नहीं खा रहा है तो मरने दो को.."	hi	1	1	1	1	1.0
2047	ये कुकूर मुत्ते की औलाद है, जो  बच्चे ,महिला ,ओर बुजुर्ग पर हाथ चलता है वो भड्वा, दलाल, हैं	"Output:	ये कुकूर है, जो  बच्चे ,महिला ,ओर बुजुर्ग पर हाथ चलता है वो हैं"	hi	1	1	1	1	1.0
2049	शोएब चरसी अख्तर एक उभरती टीम का मजाक उड़ाते हुए	"Output:	शोएब अख्तर एक उभरती टीम का मजाक उड़ाते हुए"	hi	1	1	1	1	1.0
2053	ये हरामी वही है जिसने उसको जीते जी मार डाला ||	"Output:	वही है जिसने उसको जीते जी मार डाला ||"	hi	1	1	1	1	1.0
2064	अबे हरामी, कमीने, चोर , बेईमान तुझे डिटेल्स पता ही नही है	Output: तुझे डिटेल्स पता ही नही है	hi	1	1	1	1	1.0
2065	कौन बना रहा है भेनचोद ऐसे मीम. आधे घंटे से हँस रहा हूँ.	"Output:	कौन बना रहा है ऐसे मीम. आधे घंटे से हँस रहा हूँ."	hi	1	1	1	1	1.0
2069	दोनों भड़वे  हो और दलाल तू पैसों का है 	"Output:	दोनों हो और तू पैसों का है"	hi	1	1	1	1	1.0
2072	अब पत्रकार के ऊपर पेशाब कर दिया जा रहा है।	Output: अब पत्रकार के ऊपर पेशाब कर दिया जा रहा है।	hi	1	1	1	1	0.8333333333333334
2075	हो गया न्याय? यही होता है जब एक एक्टर नेता बनकर लोगों का चुतिया काटता है |	"Output:	हो गया न्याय? यही होता है जब एक एक्टर नेता बनकर लोगों का काम करता है |"	hi	1	1	1	1	1.0
2078	चुप कर भोसडीके, कौन सा दूध का धुला है तू	"Output:	चुप कर, कौन सा दूध का धुला है तू"	hi	1	1	1	1	1.0
2106	रंडी की नाजायज औलाद  इस्तीफा दो	Output: इस्तीफा दो	hi	1	1	1	1	1.0
2111	तू कौन है भैनचोद.... चल निकल यहाँ से	Output: तू कौन है.... चल निकल यहाँ से	hi	1	1	1	1	1.0
