Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	ብቻ አንድ ነገር መጣል አንድ ነገ	am	1.0	0.5	0	1	0.8333333333333334
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	በዚ የሚሳለቅ ካለ ዘረኝነት ያሰ	am	1.0	1.0	1	1	1.0
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ የግልገሎችህ መሸነፍ አላስተኛ	am	1.0	1.0	1	1	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	መቶዎችና አንድ ወይም ሁለት ግድ	am	1.0	0.5	0	1	1.0
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም ግራ የሚያጋባ ነገር የለም	am	1.0	1.0	1	1	1.0
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ዱሮም ባቱ ስንማር	am	1.0	1.0	1	1	1.0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን በተለያየ መንገድ ማሰወቀ	am	1.0	1.0	1	1	0.8333333333333334
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ኣንተ ዝምብለህ ሸቅል ነገ ግ	am	1.0	1.0	1	1	0.8333333333333334
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ዝም ብየ ሳስታውስ ጨዋታ ምት	am	1.0	1.0	1	1	0.8333333333333334
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያው ባለጌ ያሳደገህ ሰው ስለ	am	0.5	1.0	1	1	1.0
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	እንደዚያ በለው ያው ማን እንደሚቀበር	am	1.0	1.0	1	1	0.5
4292	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	የታደለችዉማ ይሄን ወገንተኛ ል	am	1.0	1.0	1	1	1.0
4302	እኔን ወይም ጓደኛዬን አትናገር አሁን ደደብ ደህና ሁን :	እኔን ወይም ጓደኛዬን አትናገር አ	am	1.0	1.0	1	1	1.0
4322	አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ	ባክሽ እውቀት ኖሮሽ አይደለም እም	am	1.0	0.5	0	1	0.8333333333333334
4331	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	ችግራችን እኮ እናንተ በላይ ብልጥ	am	1.0	0.5	0	1	1.0
4333	ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው	ብትልም መብቷ ነው:: የኦነግ ደ	am	1.0	1.0	1	0	0.8333333333333334
4336	ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ	ማን ደደብና low IQ እንደሆነ ኮመንታ	am	1.0	0.5	0	1	0.6666666666666666
4340	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	በፍፁም እንደ አርጋቸው ያሉ ህይወታ	am	1.0	1.0	1	1	0.8333333333333334
4346	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን አቦ	ሐበሻ ላይ የለመድከውን ሌላው 	am	1.0	0.5	0	1	1.0
4349	አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ	አሁን ዶ/ር መረራ አራት ኪሎ መግባ	am	1.0	0.5	0	1	0.8333333333333334
4354	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል	እውነትሽን ነው እኔ እኮ ኬፕታውን	am	1.0	0.5	0	1	1.0
4358	ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር	ይህን ፕሬዚደንት ተብዬ አስታግ	am	1.0	1.0	1	1	1.0
