Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	यदि कुछ है तो अगले कार्य में है! मेरा अर्थ है कि कार्य में है तो अधिकार है!! अधिकार ही कार्य बना दिया है!!!	hi	1	0	1.0	1.0	1
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह चिंतित है?	hi	1	1	1.0	1.0	1
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	कृपया अपनी गलती सुधार लीजिए, अन्यथा समस्याएँ उत्पन्न हो सकती हैं।	hi	1	0	1.0	1.0	1
642	भौसडीके शायरी ग़लत हो गयी  	शायरी में ग़लती हो गयी।	hi	1	0	1.0	1.0	1
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे दोस्त, तुम्हे इमाम बोलने में थोड़ी हिचकिचाहट महसूस होती है।	hi	1	1	1.0	1.0	1
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेसियों में कुछ ऐसी परंपरा है।	hi	1	1	1.0	1.0	1
656	ओर ये साली सुअर सरकार सो रही है	और यह सरकार सो रही है।	hi	1	1	1.0	1.0	1
662	सबसे ज्यादा कमीना तू है	सबसे ज्यादा नकारात्मक तू है	hi	1	1	1.0	1.0	1
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	hi	1	1	1.0	1.0	1
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	यह व्यक्ति रात भर नृत्य करके कहा कि मैं थक गई ..	hi	1	0	1.0	1.0	1
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहें आज भी खोज रही हैं...	hi	1	0	1.0	1.0	1
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	सब नपुंसक ह, ये सरकारें नेता सब नक़ली ह।	hi	1	1	1.0	1.0	1
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	क्या आप जेल में भेजा जाना चाहते हैं? क्या यहाँ उचित विषय पर चर्चा कर रहे हैं?	hi	1	0	0.6666666666666666	1.0	1
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	अरे ओ महबूबा, तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा मित्र वर्ल्ड कप से बाहर हो गया।	hi	1	1	1.0	1.0	1
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	कृपया अपना नाम दर्ज करें, यह बेहतर होगा।	hi	1	0	0.3333333333333333	1.0	1
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	लोगों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नौकरी छीन ली।	hi	1	0	1.0	1.0	1
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	लेकिन यह भी साफ है कि धोनी कोहली से बेहतर है।	hi	1	1	1.0	1.0	1
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	धमकी किसे दे रहा है। जानवर की औलाद।	hi	1	1	0.8333333333333334	1.0	1
746	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	इन व्यक्तियों को कोई बताए कितने अकाउंट हैं।	hi	1	1	1.0	1.0	1
749	कमीने, दुश्मन से गले मिल गये?	क्या तुम्हे दुश्मन से मिल गए?	hi	1	0	1.0	1.0	1
754	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	धोनी के आखिरी छोटे बाल मारते ही जैसे पागलों की तरह चिल्ला रहे थे || देखो सभी।	hi	1	1	1.0	1.0	1
758	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	जब एक व्यक्ति एक पशु से भावनाएं साझा करता है, तो वह मानवों के सम्मान में कितना समझदार निकलता है।	hi	1	1	1.0	1.0	1
766	भोसडीके थोड़ा सा तो शर्म कर	थोड़ा सा शर्म करो	hi	1	1	1.0	1.0	1
776	अबे कटे लंड के औलाद, रंडी  सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	दोस्त, सुनो, अगर गलती लगती है तो मर्यादित भाषा में टिप्पणी करें।	hi	1	0	1.0	1.0	1
783	भैनचोद आत्महत्या की तैयारी कर रहा है ?	आत्महत्या की तैयारी कर रहा है ?	hi	1	1	1.0	1.0	1
786	भेनचोद झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	झोपड़ियाँ वालों को IPhone और विमान की टिकट कौन देता है |	hi	1	0	1.0	1.0	1
788	भोसड़ीके अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	उसको अपनी टीम के साथ खेलना ठीक से नहीं आता और हमें सलाह दे रहा है।	hi	1	1	1.0	1.0	1
803	दलाल मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	मीडिया जानवरों की तरह चिल्लाती है?	hi	1	1	1.0	1.0	1
807	भडवे सूअर कभी तो गलत का विरोध करा करो 	कभी तो गलत का विरोध करा करो	hi	1	0	1.0	1.0	1
814	मोदी क्या तेरा फूफा है भेनचोद ?	क्या तेरा चाचा है?	hi	1	0	1.0	1.0	1
815	गुजरात के ग़द्दार निष्काशित क़ातिल IPS संजीव भट्ट को उम्र केद...!!	गुजरात के IPS पुलिस अधिकारी संजीव भट्ट को पेंशन केलिए...!!	hi	1	0	1.0	1.0	1
818	अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर सुअर के लिये गाली लिखते है |	अपनी ट्रेनों को भी कभी जांच लिया करो।।	hi	1	1	1.0	1.0	1
822	अब वो कटु भड़वा सुअर ओवेसी कहाँ चला गया।	अब वो सुअर कहाँ चला गया।	hi	1	1	0.8333333333333334	1.0	1
831	भोसडीके अगली बार CD बना तो लाइटिंग अच्छी लगाना !	अगली बार, CD बनाने पर लाइटिंग ध्यान से लगाना।	hi	1	0	1.0	1.0	1
833	भेनचोद इंग्लिश फैन्स सिर्फ ताली मारने को बैठै रहते हैं।	भ्रातृवाचक इंग्लिश फैन्स सिर्फ ताली बजाने की स्थिति में अवस्थित रहते हैं।	hi	1	0	1.0	1.0	1
836	भोसडीके अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है	अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है।	hi	1	0	1.0	1.0	1
846	नहीं खा रहा है तो मरने दो भेनचोद को..	नहीं खा रहा है तो मरने दो।	hi	1	1	1.0	1.0	1
847	ये कुकूर मुत्ते की औलाद है, जो  बच्चे ,महिला ,ओर बुजुर्ग पर हाथ चलता है वो भड्वा, दलाल, हैं	उसका कर्म नकारात्मक है।	hi	1	0	1.0	1.0	1
849	शोएब चरसी अख्तर एक उभरती टीम का मजाक उड़ाते हुए	शोएब अख्तर एक उभरती टीम का मजाक उड़ाते हुए	hi	1	1	1.0	1.0	1
853	ये हरामी वही है जिसने उसको जीते जी मार डाला ||	वही है जिसने उसको जीते जी मार डाला ||	hi	1	0	1.0	1.0	1
864	अबे हरामी, कमीने, चोर , बेईमान तुझे डिटेल्स पता ही नही है	अबे यार, ऐसे नहीं है कि तुझे डिटेल्स पता ही नही है.	hi	1	1	1.0	1.0	1
865	कौन बना रहा है भेनचोद ऐसे मीम. आधे घंटे से हँस रहा हूँ.	कौन ऐसे मीम बनाने जा रहा है, मैं पिछले आधे घंटे से हँस रहा हूँ.	hi	1	1	1.0	1.0	1
869	दोनों भड़वे  हो और दलाल तू पैसों का है 	दोनों व्यक्ति हैं और तुम पैसे के मालिक हो।	hi	1	1	1.0	1.0	1
872	अब पत्रकार के ऊपर पेशाब कर दिया जा रहा है।	पत्रकार पर उचित भरोसा रखा जा रहा है।	hi	1	1	1.0	1.0	1
875	हो गया न्याय? यही होता है जब एक एक्टर नेता बनकर लोगों का चुतिया काटता है |	हो गया न्याय? यही होता है जब एक एक्टर नेता बनकर लोगों का काम चलाता है ।	hi	1	1	1.0	1.0	1
